seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12876,2024,ESP.W.1,21140,41988,10,1,0,4,0,0,1,0,0,0,0,0,0,32,20,2025-06-17 04:59:46
12876,2024,ESP.W.1,21424,127084,26,8,24,6,3,0,0,3,0,1,4,0,0,0,21,2024-08-20 04:52:22
12876,2024,ESP.W.1,21428,127084,26,1,20,9,5,0,0,3,0,3,12,0,0,0,38,2025-06-17 04:59:49
12876,2024,ESP.W.1,21128,158845,15,6,2,3,0,0,0,0,0,0,5,0,0,0,11,2024-08-20 04:52:24
12876,2024,ESP.W.1,21373,158859,20,2,19,10,7,0,0,0,0,1,5,1,0,0,41,2025-06-17 04:59:48
12876,2024,ESP.W.1,21145,168039,20,4,9,7,1,0,0,1,0,2,9,2,0,0,21,2025-06-17 04:59:44
12876,2024,ESP.W.1,21376,176022,20,8,5,7,3,0,0,0,0,0,2,0,0,0,26,2024-08-20 04:52:22
12876,2024,ESP.W.1,21128,188395,18,3,32,6,2,0,0,0,0,4,17,0,0,0,12,2025-06-17 04:59:49
12876,2024,ESP.W.1,20091,188448,21,5,14,8,3,0,0,4,2,5,17,1,0,0,7,2024-08-20 04:52:23
12876,2024,ESP.W.1,21427,208930,6,2,0,3,0,0,0,0,0,0,2,0,0,0,3,2024-08-20 04:52:28
12876,2024,ESP.W.1,21149,209921,21,10,6,3,1,0,0,0,0,1,1,0,0,0,20,2025-06-17 04:59:47
12876,2024,ESP.W.1,21424,211151,30,6,10,20,3,0,0,4,11,22,46,6,0,0,42,2024-08-20 04:52:22
12876,2024,ESP.W.1,21149,211326,25,13,25,8,2,0,0,0,1,5,8,0,0,0,25,2024-08-20 04:52:25
12876,2024,ESP.W.1,21372,212433,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2024-08-20 04:52:26
