seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12632,2024,MEX.1,219,3313,8,2,5,7,1,0,0,1,2,3,4,1,0,3,7,2025-04-24 04:53:46
12632,2024,MEX.1,234,12425,9,6,3,6,0,0,0,1,0,3,10,2,0,0,6,2025-04-24 04:53:48
12632,2024,MEX.1,232,16756,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:50
12632,2024,MEX.1,225,21738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:30
12632,2024,MEX.1,220,23761,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-04-24 04:53:47
12632,2024,MEX.1,15720,26703,2,2,0,2,0,0,0,0,0,0,1,0,0,0,1,2025-02-07 05:38:02
12632,2024,MEX.1,219,37249,10,0,11,3,2,1,0,1,1,0,5,0,0,3,10,2025-04-24 04:53:46
12632,2024,MEX.1,220,41579,8,0,9,6,2,1,0,0,0,4,17,3,0,3,7,2025-04-24 04:53:47
12632,2024,MEX.1,222,42182,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2025-04-24 04:53:49
12632,2024,MEX.1,234,44473,3,1,2,1,0,0,0,0,0,0,3,0,0,2,4,2025-04-24 04:53:48
12632,2024,MEX.1,218,47905,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:45
12632,2024,MEX.1,20702,48484,12,2,8,8,2,0,0,2,1,7,20,3,0,2,18,2025-04-24 04:53:47
12632,2024,MEX.1,232,49306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:50
12632,2024,MEX.1,17851,66955,11,2,5,8,2,0,0,0,0,0,1,0,0,2,10,2025-04-24 04:53:45
12632,2024,MEX.1,232,68340,17,0,0,3,2,1,0,0,0,0,0,0,187,52,14,2025-04-24 04:53:50
12632,2024,MEX.1,228,70610,4,4,1,1,0,0,0,0,0,0,1,0,0,0,3,2025-04-24 04:53:46
12632,2024,MEX.1,227,70983,11,9,5,8,0,0,0,1,3,1,13,0,0,0,2,2025-04-24 04:53:44
12632,2024,MEX.1,10125,72266,3,0,0,1,0,0,0,0,1,0,0,0,37,8,6,2025-04-24 04:53:50
12632,2024,MEX.1,222,72904,14,5,1,9,0,0,0,1,3,5,14,4,0,0,15,2025-04-24 04:53:49
12632,2024,MEX.1,218,74070,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2025-04-24 04:53:45
12632,2024,MEX.1,228,76932,12,6,8,6,1,0,0,0,4,2,5,1,0,1,6,2025-04-24 04:53:46
12632,2024,MEX.1,15720,77934,8,1,2,2,0,0,0,0,0,2,2,0,0,4,12,2025-04-24 04:53:44
12632,2024,MEX.1,15720,78772,4,1,0,0,0,0,0,0,0,0,0,0,39,14,7,2025-04-24 04:53:44
12632,2024,MEX.1,220,79608,17,1,15,7,2,0,0,0,1,2,12,1,0,11,20,2025-04-24 04:53:47
12632,2024,MEX.1,10125,80359,2,0,1,2,0,0,0,0,2,0,0,0,0,0,1,2025-02-13 05:45:16
12632,2024,MEX.1,228,82816,16,2,9,32,1,1,0,6,9,9,25,2,0,1,14,2025-04-24 04:53:46
12632,2024,MEX.1,232,83869,4,1,5,0,0,0,0,0,0,0,1,0,0,4,3,2025-04-24 04:53:50
12632,2024,MEX.1,232,84854,3,3,0,1,1,0,0,0,0,2,9,0,0,0,1,2025-04-24 04:53:50
12632,2024,MEX.1,17851,92561,10,3,12,1,3,0,0,0,1,0,1,0,0,5,11,2025-04-24 04:53:45
12632,2024,MEX.1,227,93184,7,3,7,8,0,0,0,3,1,2,2,1,0,0,3,2025-04-24 04:53:44
12632,2024,MEX.1,227,95752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:44
12632,2024,MEX.1,225,96526,4,0,5,3,1,0,0,0,0,0,2,0,0,0,9,2025-04-24 04:53:50
12632,2024,MEX.1,15720,98573,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2025-04-24 04:53:44
12632,2024,MEX.1,228,101912,9,0,0,0,1,0,0,0,0,0,0,0,93,32,10,2025-04-24 04:53:46
12632,2024,MEX.1,232,103714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:50
12632,2024,MEX.1,227,103729,5,1,0,1,0,0,0,0,0,0,0,0,24,10,2,2025-04-24 04:53:44
12632,2024,MEX.1,234,104428,12,11,3,5,1,1,0,1,3,1,8,0,0,0,5,2025-04-24 04:53:48
12632,2024,MEX.1,225,110987,13,3,7,12,1,0,0,3,1,2,7,0,0,2,18,2025-04-24 04:53:50
12632,2024,MEX.1,231,111297,14,8,5,7,1,0,0,0,1,4,12,0,0,0,13,2025-01-18 05:37:29
12632,2024,MEX.1,227,115044,2,0,3,3,0,0,0,0,1,1,4,0,0,0,1,2025-04-24 04:53:44
12632,2024,MEX.1,15720,115294,10,6,2,7,1,0,0,0,2,0,2,0,0,1,9,2025-04-24 04:53:44
12632,2024,MEX.1,218,115447,16,10,10,15,1,0,0,1,1,5,24,3,0,0,8,2025-04-24 04:53:45
12632,2024,MEX.1,220,117977,14,6,5,15,1,0,0,7,2,4,16,1,0,0,11,2025-04-24 04:53:47
12632,2024,MEX.1,222,120791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:30
12632,2024,MEX.1,216,120798,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-04-24 04:53:44
12632,2024,MEX.1,227,122146,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2025-04-24 04:53:44
12632,2024,MEX.1,220,125300,5,1,4,2,1,0,0,0,0,0,0,0,0,2,7,2025-04-24 04:53:47
12632,2024,MEX.1,220,125383,13,0,6,26,1,0,0,6,3,16,40,6,0,1,18,2025-04-24 04:53:47
12632,2024,MEX.1,233,125805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:49
12632,2024,MEX.1,234,127570,17,1,16,15,2,0,0,3,7,20,55,9,0,1,23,2025-04-24 04:53:48
12632,2024,MEX.1,222,127873,13,4,17,12,1,0,0,0,1,2,4,1,0,6,12,2025-04-24 04:53:49
12632,2024,MEX.1,223,128179,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-04-24 04:53:51
12632,2024,MEX.1,219,128268,6,5,1,3,1,0,0,0,0,0,0,0,0,0,1,2025-04-24 04:53:46
12632,2024,MEX.1,223,128422,13,3,7,7,3,0,0,0,2,1,3,0,0,3,9,2025-04-24 04:53:51
12632,2024,MEX.1,232,129167,14,0,13,14,3,0,0,0,2,0,4,0,0,6,13,2025-04-24 04:53:50
12632,2024,MEX.1,227,129421,16,2,10,18,1,0,0,2,7,8,29,2,0,4,6,2025-04-24 04:53:44
12632,2024,MEX.1,231,129732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:48
12632,2024,MEX.1,231,130428,15,2,19,7,4,2,0,2,11,1,9,0,0,1,16,2025-04-24 04:53:48
12632,2024,MEX.1,17851,131612,8,8,3,1,0,0,0,0,0,0,2,0,0,0,2,2025-04-24 04:53:45
12632,2024,MEX.1,219,131697,15,7,9,11,3,0,0,0,0,0,4,0,0,5,12,2025-04-24 04:53:46
12632,2024,MEX.1,231,131733,14,6,18,11,4,0,0,3,0,6,20,0,0,0,9,2025-04-24 04:53:48
12632,2024,MEX.1,223,132098,15,2,11,4,3,0,0,4,5,7,13,3,0,3,15,2025-04-24 04:53:51
12632,2024,MEX.1,216,132219,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-04-24 04:53:44
12632,2024,MEX.1,227,132676,10,4,7,6,0,0,0,0,1,1,4,1,0,2,4,2025-04-24 04:53:44
12632,2024,MEX.1,219,133111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:46
12632,2024,MEX.1,216,133922,14,0,10,3,2,0,1,0,0,2,3,0,0,4,28,2025-04-24 04:53:44
12632,2024,MEX.1,218,136124,5,3,1,5,0,0,0,0,0,0,1,0,0,0,3,2025-04-24 04:53:45
12632,2024,MEX.1,219,136135,10,3,1,10,1,0,0,0,2,8,14,2,0,1,7,2025-04-24 04:53:46
12632,2024,MEX.1,227,137439,6,1,4,6,1,0,0,0,3,0,2,0,0,0,2,2025-04-24 04:53:44
12632,2024,MEX.1,220,138328,8,0,0,2,1,0,0,0,0,0,0,0,61,24,11,2025-04-24 04:53:47
12632,2024,MEX.1,232,138333,8,0,9,4,1,1,0,0,1,2,5,1,0,4,8,2025-03-04 05:44:10
12632,2024,MEX.1,225,140817,3,2,0,2,0,0,0,0,0,1,3,0,0,0,2,2025-04-24 04:53:50
12632,2024,MEX.1,227,141086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:25
12632,2024,MEX.1,233,143362,14,8,10,3,3,0,0,1,1,0,9,0,0,0,11,2025-04-24 04:53:49
12632,2024,MEX.1,227,144325,13,2,6,15,2,0,0,3,1,9,17,4,0,1,5,2025-04-24 04:53:44
12632,2024,MEX.1,223,145092,2,0,0,1,0,0,0,0,0,0,0,0,27,7,3,2025-01-28 15:04:28
12632,2024,MEX.1,219,145875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:46
12632,2024,MEX.1,219,146419,11,4,4,6,0,0,0,0,1,5,12,1,0,1,8,2025-04-24 04:53:46
12632,2024,MEX.1,223,146866,12,7,8,10,2,0,0,2,1,0,3,0,0,3,7,2025-04-24 04:53:51
12632,2024,MEX.1,220,146989,17,2,12,9,4,0,0,0,2,2,9,0,0,5,23,2025-04-24 04:53:47
12632,2024,MEX.1,234,147082,7,2,5,3,0,0,0,0,0,0,6,0,0,3,5,2025-02-08 05:48:46
12632,2024,MEX.1,219,147715,9,4,4,1,1,1,0,0,0,2,5,1,0,4,8,2025-04-24 04:53:46
12632,2024,MEX.1,228,148356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:46
12632,2024,MEX.1,222,149407,8,0,1,1,2,0,0,0,0,0,0,0,103,26,11,2025-04-24 04:53:49
12632,2024,MEX.1,219,149708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:27
12632,2024,MEX.1,225,149859,2,1,1,0,1,0,1,0,1,1,1,0,0,0,3,2025-04-24 04:53:50
12632,2024,MEX.1,218,151850,14,6,8,10,2,0,0,0,1,11,26,4,0,1,7,2025-04-24 04:53:45
12632,2024,MEX.1,10125,151993,11,6,9,5,2,0,0,0,1,0,4,0,0,3,11,2025-04-24 04:53:50
12632,2024,MEX.1,231,152371,6,0,0,0,0,0,0,0,0,0,0,0,85,22,8,2025-04-24 04:53:48
12632,2024,MEX.1,233,152371,2,0,0,0,0,0,0,0,1,0,0,0,14,0,6,2025-02-02 14:47:49
12632,2024,MEX.1,15720,154456,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2025-02-18 05:43:50
12632,2024,MEX.1,218,154517,16,4,23,11,3,0,0,0,4,4,11,2,0,1,12,2025-04-24 04:53:45
12632,2024,MEX.1,232,156520,10,5,1,5,0,0,0,0,0,0,1,0,0,1,5,2025-04-24 04:53:50
12632,2024,MEX.1,231,156570,7,7,0,0,0,0,0,0,0,0,1,0,0,0,3,2025-04-24 04:53:48
12632,2024,MEX.1,223,158275,12,4,7,9,1,0,0,0,1,4,4,1,0,5,12,2025-04-24 04:53:51
12632,2024,MEX.1,228,158304,15,2,13,14,3,1,0,3,4,1,8,1,0,2,14,2025-01-18 05:37:27
12632,2024,MEX.1,227,159042,8,6,7,3,1,0,0,0,2,6,11,3,0,2,2,2025-04-24 04:53:44
12632,2024,MEX.1,15720,159057,10,3,5,7,0,0,0,2,2,3,9,1,0,0,14,2025-04-24 04:53:44
12632,2024,MEX.1,220,159263,10,4,9,11,2,0,0,0,2,4,13,0,0,0,6,2025-04-24 04:53:47
12632,2024,MEX.1,219,159279,1,0,3,0,1,1,0,0,0,0,0,0,0,0,1,2025-01-15 05:35:25
12632,2024,MEX.1,223,159279,5,2,0,1,0,0,0,0,0,1,2,1,0,1,2,2025-04-24 04:53:51
12632,2024,MEX.1,222,159284,15,4,17,5,3,0,0,1,2,2,10,0,0,7,19,2025-04-24 04:53:49
12632,2024,MEX.1,216,159906,12,5,5,2,0,0,0,0,1,1,6,1,0,0,13,2025-04-24 04:53:44
12632,2024,MEX.1,223,159906,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:31
12632,2024,MEX.1,20702,161965,13,3,3,5,1,0,0,0,1,1,11,0,0,1,6,2025-03-09 05:42:01
12632,2024,MEX.1,218,162654,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:26
12632,2024,MEX.1,20702,163150,17,0,1,2,4,0,1,0,1,1,1,0,211,54,25,2025-04-24 04:53:47
12632,2024,MEX.1,227,164331,3,1,1,0,0,0,0,0,0,1,1,0,0,1,0,2025-04-24 04:53:44
12632,2024,MEX.1,229,164334,10,2,4,0,3,0,0,0,1,2,7,1,0,0,19,2025-04-24 04:53:48
12632,2024,MEX.1,231,164334,17,0,13,5,2,0,0,0,2,5,18,1,0,12,32,2025-01-24 16:55:19
12632,2024,MEX.1,222,167048,5,4,3,4,1,1,0,0,0,2,3,1,0,0,2,2025-01-24 16:55:19
12632,2024,MEX.1,227,167681,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2025-04-24 04:53:44
12632,2024,MEX.1,15720,170506,17,0,33,21,4,0,0,0,3,7,16,3,0,6,33,2025-04-24 04:53:44
12632,2024,MEX.1,17851,170528,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:45
12632,2024,MEX.1,17851,170562,13,10,6,5,0,0,0,1,2,6,19,1,0,1,11,2025-01-18 05:37:26
12632,2024,MEX.1,228,172073,17,0,18,13,4,0,0,0,4,3,13,0,0,10,21,2025-04-24 04:53:46
12632,2024,MEX.1,222,172090,11,3,12,10,2,0,0,1,5,0,1,0,0,4,16,2025-04-24 04:53:49
12632,2024,MEX.1,231,172596,4,0,9,7,1,0,0,0,0,8,17,4,0,1,8,2025-04-24 04:53:48
12632,2024,MEX.1,225,172599,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2025-04-24 04:53:50
12632,2024,MEX.1,15720,172680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:44
12632,2024,MEX.1,225,173063,17,0,10,17,2,0,0,2,5,1,6,0,0,8,33,2025-04-24 04:53:50
12632,2024,MEX.1,17851,173063,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2025-01-15 05:35:24
12632,2024,MEX.1,220,173233,14,2,12,9,0,1,0,1,4,6,11,3,0,1,17,2025-04-24 04:53:47
12632,2024,MEX.1,228,173239,17,6,12,24,1,0,0,3,2,23,53,7,0,3,15,2025-04-24 04:53:46
12632,2024,MEX.1,216,173630,16,0,21,11,5,0,0,0,1,2,14,2,0,21,27,2025-04-24 04:53:44
12632,2024,MEX.1,10125,174756,3,0,0,0,0,0,0,0,1,0,0,0,32,13,9,2025-04-24 04:53:50
12632,2024,MEX.1,234,174757,10,2,11,7,2,0,0,1,3,0,5,0,0,2,13,2025-04-24 04:53:48
12632,2024,MEX.1,231,174763,12,4,17,3,1,0,0,0,1,1,5,1,0,3,13,2025-04-24 04:53:48
12632,2024,MEX.1,10125,175155,11,0,0,0,1,0,0,0,0,0,0,0,126,44,20,2025-04-24 04:53:50
12632,2024,MEX.1,231,175156,11,0,0,1,1,0,0,0,0,0,0,0,149,31,16,2025-04-24 04:53:48
12632,2024,MEX.1,20702,176163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:47
12632,2024,MEX.1,232,176169,9,8,3,3,0,0,0,0,0,3,4,1,0,0,3,2025-04-24 04:53:50
12632,2024,MEX.1,227,176426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:44
12632,2024,MEX.1,20702,176489,16,4,23,35,2,0,0,0,4,2,8,0,0,0,17,2025-04-24 04:53:47
12632,2024,MEX.1,225,176771,11,0,13,11,3,0,0,0,3,1,1,1,0,13,16,2025-04-24 04:53:50
12632,2024,MEX.1,228,176824,8,0,0,1,2,0,0,0,1,0,0,0,100,30,11,2025-04-24 04:53:46
12632,2024,MEX.1,223,177279,2,0,1,0,0,0,0,0,0,0,1,0,0,1,3,2025-02-02 14:47:51
12632,2024,MEX.1,233,177553,13,2,8,15,2,0,0,1,4,0,2,0,0,8,22,2025-04-24 04:53:49
12632,2024,MEX.1,218,178042,14,3,15,8,1,0,0,1,1,9,28,5,0,3,11,2025-04-24 04:53:45
12632,2024,MEX.1,228,178062,13,7,12,1,1,0,0,1,1,3,10,1,0,1,6,2025-04-24 04:53:46
12632,2024,MEX.1,10125,178142,10,2,16,3,3,0,0,0,1,2,2,0,0,0,15,2025-04-24 04:53:50
12632,2024,MEX.1,218,178746,13,1,13,11,1,0,0,0,0,4,8,0,0,3,9,2025-04-24 04:53:45
12632,2024,MEX.1,216,178839,15,0,15,17,3,0,0,0,4,2,21,0,0,4,24,2025-04-24 04:53:44
12632,2024,MEX.1,222,179604,10,0,12,11,3,1,0,1,1,0,5,0,0,4,14,2025-04-24 04:53:49
12632,2024,MEX.1,17851,179814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:45
12632,2024,MEX.1,232,182815,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:50
12632,2024,MEX.1,219,183635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-16 05:38:09
12632,2024,MEX.1,228,183635,9,8,2,7,0,1,0,0,0,2,6,0,0,0,3,2025-04-24 04:53:46
12632,2024,MEX.1,225,183817,6,2,1,6,0,1,0,0,0,2,2,0,0,3,7,2025-04-24 04:53:50
12632,2024,MEX.1,220,184299,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2025-04-24 04:53:47
12632,2024,MEX.1,17851,184299,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2025-01-25 05:29:18
12632,2024,MEX.1,223,184845,5,0,0,0,0,0,0,0,0,0,0,0,50,9,6,2025-04-24 04:53:51
12632,2024,MEX.1,225,184880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:50
12632,2024,MEX.1,216,185147,17,0,1,2,1,0,0,0,1,0,0,0,202,52,31,2025-04-24 04:53:44
12632,2024,MEX.1,17851,186084,15,8,11,5,1,0,0,0,0,4,12,2,0,1,5,2025-04-24 04:53:45
12632,2024,MEX.1,20702,186304,16,5,10,21,3,0,0,0,1,1,3,0,0,5,13,2025-04-24 04:53:47
12632,2024,MEX.1,232,186489,10,1,3,5,0,0,0,1,4,2,13,0,0,0,6,2025-04-24 04:53:50
12632,2024,MEX.1,15720,186844,5,2,1,4,1,0,0,0,0,0,1,0,0,4,7,2025-04-24 04:53:44
12632,2024,MEX.1,233,187845,16,2,20,20,3,0,0,0,6,9,38,5,0,3,20,2025-04-24 04:53:49
12632,2024,MEX.1,223,189480,15,1,19,18,4,0,0,2,2,24,49,12,0,2,18,2025-04-24 04:53:51
12632,2024,MEX.1,231,189590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:48
12632,2024,MEX.1,228,189600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:46
12632,2024,MEX.1,10125,189764,5,4,1,2,0,0,0,0,0,3,4,0,0,0,4,2025-04-24 04:53:50
12632,2024,MEX.1,222,189784,8,4,1,6,0,0,0,0,1,5,18,0,0,0,7,2025-01-18 05:37:30
12632,2024,MEX.1,225,189785,16,0,18,14,3,0,0,3,3,6,19,1,0,6,30,2025-04-24 04:53:50
12632,2024,MEX.1,10125,189834,9,3,4,2,0,0,0,0,0,3,7,2,0,0,6,2025-04-24 04:53:50
12632,2024,MEX.1,220,190559,4,3,1,0,0,0,0,0,0,0,1,0,0,1,3,2025-01-24 16:55:18
12632,2024,MEX.1,219,190901,4,3,3,2,0,0,0,0,1,0,1,0,0,2,1,2025-04-24 04:53:46
12632,2024,MEX.1,220,190907,9,0,0,1,0,0,0,0,1,0,0,0,83,25,12,2025-04-24 04:53:47
12632,2024,MEX.1,233,191735,7,4,6,3,0,0,0,0,0,0,2,0,0,1,7,2025-04-24 04:53:49
12632,2024,MEX.1,218,192166,12,0,8,4,5,1,0,0,2,0,10,0,0,4,11,2025-04-24 04:53:45
12632,2024,MEX.1,233,193566,12,5,12,3,4,0,0,1,1,8,19,4,0,1,7,2025-04-24 04:53:49
12632,2024,MEX.1,219,194182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:46
12632,2024,MEX.1,219,194308,17,1,16,18,3,0,0,3,3,9,23,4,0,1,16,2025-04-24 04:53:46
12632,2024,MEX.1,219,194311,14,2,25,20,7,0,0,0,1,3,18,1,0,6,15,2025-04-24 04:53:46
12632,2024,MEX.1,220,194666,8,2,8,1,3,0,0,1,0,1,2,0,0,0,6,2025-04-24 04:53:47
12632,2024,MEX.1,234,194921,15,1,16,11,4,1,0,1,2,2,11,0,0,6,20,2025-04-24 04:53:48
12632,2024,MEX.1,216,195220,17,0,17,29,1,0,0,3,2,20,59,12,0,1,31,2025-04-24 04:53:44
12632,2024,MEX.1,229,195301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:28
12632,2024,MEX.1,227,195312,12,4,9,6,1,1,0,2,2,2,5,0,0,1,4,2025-04-24 04:53:44
12632,2024,MEX.1,233,195339,7,1,7,10,0,0,0,0,6,4,8,1,0,0,9,2025-04-24 04:53:49
12632,2024,MEX.1,228,195695,15,8,7,11,1,0,0,2,3,1,9,0,0,0,9,2025-04-24 04:53:46
12632,2024,MEX.1,233,195714,10,0,13,3,4,0,0,0,1,0,3,0,0,5,10,2025-04-24 04:53:49
12632,2024,MEX.1,10125,195729,12,6,13,17,1,0,0,1,1,6,19,0,0,1,14,2025-04-24 04:53:50
12632,2024,MEX.1,228,197049,13,0,10,16,2,0,0,1,3,10,26,5,0,0,16,2025-04-24 04:53:46
12632,2024,MEX.1,17851,197050,10,1,11,8,4,0,0,0,0,1,2,1,0,7,8,2025-04-24 04:53:45
12632,2024,MEX.1,231,197543,7,1,9,10,1,0,0,0,1,4,13,1,0,0,9,2025-04-24 04:53:48
12632,2024,MEX.1,216,197642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:44
12632,2024,MEX.1,17851,198904,15,4,11,11,0,0,0,2,3,5,17,2,0,0,10,2025-04-24 04:53:45
12632,2024,MEX.1,234,199038,5,4,5,8,1,0,0,0,0,1,3,0,0,0,4,2025-01-18 05:37:28
12632,2024,MEX.1,232,199059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-25 05:29:22
12632,2024,MEX.1,20702,199059,10,4,7,7,4,0,0,0,3,0,4,0,0,7,5,2025-04-24 04:53:47
12632,2024,MEX.1,228,199163,15,1,18,14,6,0,0,0,0,3,10,3,0,5,18,2025-04-24 04:53:46
12632,2024,MEX.1,233,199782,17,0,22,14,3,0,0,0,3,5,20,1,0,2,24,2025-04-24 04:53:49
12632,2024,MEX.1,227,200101,13,0,0,2,0,0,0,0,1,0,0,0,133,32,8,2025-04-24 04:53:44
12632,2024,MEX.1,17851,200529,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,2025-04-24 04:53:45
12632,2024,MEX.1,232,200636,13,0,18,20,2,0,0,1,4,7,20,3,0,2,10,2025-04-24 04:53:50
12632,2024,MEX.1,229,200935,17,0,1,1,2,0,0,1,3,0,0,0,207,57,29,2025-04-24 04:53:48
12632,2024,MEX.1,228,200989,14,8,5,9,0,0,0,3,1,0,1,0,0,2,6,2025-04-24 04:53:46
12632,2024,MEX.1,216,201060,8,2,4,6,0,0,0,1,0,3,5,0,0,0,12,2025-04-24 04:53:44
12632,2024,MEX.1,17851,201113,10,6,3,4,1,0,0,1,0,1,6,1,0,1,13,2025-01-18 05:37:26
12632,2024,MEX.1,220,201538,12,10,3,4,0,0,0,0,0,2,13,1,0,0,7,2025-04-24 04:53:47
12632,2024,MEX.1,20702,201919,8,0,8,9,0,0,0,1,0,2,12,0,0,2,8,2025-04-24 04:53:47
12632,2024,MEX.1,220,202106,14,4,16,9,3,0,0,1,3,5,10,2,0,3,17,2025-04-24 04:53:47
12632,2024,MEX.1,15720,202106,4,0,4,2,0,0,0,0,0,2,4,1,0,2,5,2025-01-09 05:38:41
12632,2024,MEX.1,229,202164,15,3,17,6,5,0,0,1,0,6,13,2,0,6,16,2025-01-25 05:29:20
12632,2024,MEX.1,231,202164,6,5,5,2,2,0,0,0,1,0,2,0,0,0,5,2025-04-24 04:53:48
12632,2024,MEX.1,223,203061,10,0,0,0,2,0,1,0,1,1,1,0,100,25,12,2025-04-24 04:53:51
12632,2024,MEX.1,234,204100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:28
12632,2024,MEX.1,227,204923,15,4,9,17,1,0,0,0,5,14,32,7,0,1,6,2025-04-24 04:53:44
12632,2024,MEX.1,216,205539,6,6,2,1,0,1,0,0,0,0,0,0,0,0,3,2025-04-24 04:53:44
12632,2024,MEX.1,222,205657,10,6,1,6,0,0,0,0,0,4,7,3,0,0,9,2025-01-18 05:37:30
12632,2024,MEX.1,10125,206158,16,1,16,16,4,0,0,3,1,1,11,0,0,5,31,2025-04-24 04:53:50
12632,2024,MEX.1,225,207205,9,7,7,4,3,1,0,1,3,2,14,1,0,0,11,2025-04-24 04:53:50
12632,2024,MEX.1,232,207549,15,0,21,10,1,1,0,1,0,7,34,2,0,1,10,2025-04-24 04:53:50
12632,2024,MEX.1,20702,207807,16,4,8,18,2,0,0,0,0,4,11,1,0,0,16,2025-04-24 04:53:47
12632,2024,MEX.1,219,208436,9,7,2,5,0,0,0,0,1,4,7,2,0,1,9,2025-01-07 05:36:25
12632,2024,MEX.1,222,208436,9,3,0,5,0,0,0,0,0,2,12,0,0,1,5,2025-04-24 04:53:49
12632,2024,MEX.1,15720,210848,14,0,0,1,1,0,0,0,0,0,0,0,141,42,26,2025-04-24 04:53:44
12632,2024,MEX.1,10125,211943,1,0,0,1,0,0,0,0,0,0,0,0,0,2,4,2025-02-07 05:38:06
12632,2024,MEX.1,228,212461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-24 04:53:46
12632,2024,MEX.1,15720,212484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:26
12632,2024,MEX.1,227,212824,15,1,9,21,2,0,0,6,4,10,31,5,0,1,7,2025-04-24 04:53:44
12632,2024,MEX.1,231,213775,13,5,10,7,3,0,0,0,2,5,9,1,0,3,9,2025-04-24 04:53:48
12632,2024,MEX.1,233,215280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-03 14:48:16
12632,2024,MEX.1,216,215559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-18 05:37:25
12632,2024,MEX.1,220,215559,5,1,1,3,1,0,0,0,1,0,0,0,0,0,6,2025-04-24 04:53:47
12632,2024,MEX.1,20702,215569,9,4,7,3,1,0,0,1,3,0,2,0,0,8,5,2025-04-24 04:53:47
12632,2024,MEX.1,228,215619,14,3,11,4,4,0,0,0,2,1,1,1,0,6,19,2025-04-24 04:53:46
12632,2024,MEX.1,219,215785,9,3,7,4,2,0,0,0,1,1,3,0,0,2,6,2025-04-24 04:53:46
