seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13383,2025,FIFA.WORLD.U17,8419,3007,2,0,0,0,0,0,0,0,0,0,0,0,0,13,7,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,17971,3497,2,0,0,1,0,0,0,0,0,0,0,0,0,4,3,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,8422,7421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:05
13383,2025,FIFA.WORLD.U17,5351,16682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,130885,40088,2,1,1,1,0,0,0,0,0,0,1,0,0,0,8,2025-11-12 06:10:01
13383,2025,FIFA.WORLD.U17,22033,41485,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,8412,70303,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2025-11-12 06:09:55
13383,2025,FIFA.WORLD.U17,8412,72527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:55
13383,2025,FIFA.WORLD.U17,16306,73847,3,2,5,1,1,0,0,0,0,1,1,1,0,0,2,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,17971,98220,2,0,4,0,0,0,1,1,0,1,1,0,0,0,3,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,17974,99685,2,0,1,1,0,0,0,0,0,0,2,0,0,0,3,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,11399,121116,1,0,1,2,0,0,0,0,0,0,1,0,0,0,2,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,5379,128041,3,0,7,0,0,0,0,0,0,0,1,0,0,0,5,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,17976,130585,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,17971,131164,2,0,2,1,0,0,0,0,0,2,3,0,0,0,2,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,5379,145261,3,1,6,3,0,0,0,0,0,3,4,2,0,0,3,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,8414,147031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:08
13383,2025,FIFA.WORLD.U17,17974,163216,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,130882,166672,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,16306,178850,2,0,2,2,0,0,0,0,0,1,3,0,0,0,2,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,17974,187903,2,0,3,0,0,0,0,0,0,2,5,0,0,0,3,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,16300,204995,2,0,1,4,0,0,0,0,0,0,1,0,0,0,0,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,130891,207146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,5379,208066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,130882,212491,3,0,4,3,2,0,0,0,0,1,5,0,0,0,7,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,20064,228228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:08
13383,2025,FIFA.WORLD.U17,6689,230215,2,0,1,1,0,0,0,2,0,0,2,0,0,0,2,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,18768,233193,3,0,4,4,0,0,0,0,0,2,7,0,0,0,1,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,5054,235538,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,20064,236987,3,1,1,5,0,0,0,0,0,1,4,0,0,0,0,2025-11-12 06:10:08
13383,2025,FIFA.WORLD.U17,17970,257173,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:08
13383,2025,FIFA.WORLD.U17,11399,258442,2,0,4,1,1,0,0,0,0,0,0,0,0,0,6,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,5379,265942,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,22033,266637,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,130882,270587,3,0,1,0,0,0,0,0,0,0,2,0,0,0,7,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,22031,272433,3,3,0,2,0,0,0,0,0,0,2,0,0,0,1,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,20064,274027,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:08
13383,2025,FIFA.WORLD.U17,130882,279875,3,1,3,3,0,0,0,0,0,2,5,0,0,0,4,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,8422,281255,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:05
13383,2025,FIFA.WORLD.U17,20064,282294,3,0,4,3,0,0,0,0,0,1,1,0,0,0,0,2025-11-12 06:10:08
13383,2025,FIFA.WORLD.U17,8427,285479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:09
13383,2025,FIFA.WORLD.U17,17971,286866,2,0,4,3,2,0,0,0,0,2,6,1,0,0,2,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,17975,288041,1,0,2,1,0,0,0,0,0,2,2,0,0,0,0,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,4956,288720,3,0,1,1,1,0,0,0,0,1,2,0,0,0,4,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,8419,300236,3,1,7,6,1,0,0,1,0,1,3,1,0,0,10,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,18768,301460,2,2,1,0,1,0,0,0,0,1,2,0,0,0,0,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,8422,307474,2,0,4,0,0,0,0,0,0,1,8,1,0,0,6,2025-11-12 06:10:05
13383,2025,FIFA.WORLD.U17,17974,311004,2,2,0,1,0,0,0,1,0,0,1,0,0,0,2,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,4956,316864,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,17975,331434,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,17976,336551,2,0,0,3,1,0,0,0,0,0,0,0,0,0,3,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,17975,339964,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,17976,345354,2,1,2,1,0,0,0,0,0,1,4,0,0,0,3,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,17975,355456,2,0,4,2,0,0,0,0,0,2,3,1,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,16306,356098,2,1,1,2,0,0,0,0,0,1,3,0,0,0,2,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,17975,358681,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,130887,362224,3,1,1,0,0,0,0,0,0,0,0,0,0,0,8,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,18768,365000,3,0,4,4,0,0,0,0,0,2,12,1,0,0,1,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,17971,365277,2,0,5,6,0,0,0,0,0,2,2,1,0,0,2,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,6649,365317,3,2,0,3,0,0,0,1,0,2,4,0,0,0,0,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,6649,365318,3,1,3,6,1,0,0,1,0,2,4,0,0,0,3,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,8454,371470,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,5054,372020,3,0,4,3,1,0,0,0,0,0,1,0,0,0,3,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,8419,376083,3,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,18765,376442,3,0,0,0,0,0,0,0,0,0,0,0,0,31,22,2025-11-12 06:10:05
13383,2025,FIFA.WORLD.U17,130891,377956,2,0,3,3,0,0,0,1,0,1,1,0,0,0,2,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,5054,378369,3,0,4,8,0,0,0,3,0,5,10,3,0,0,3,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,17976,378653,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,8412,378809,3,1,2,1,0,0,0,1,0,7,20,3,0,0,2,2025-11-12 06:09:55
13383,2025,FIFA.WORLD.U17,6649,379025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,6649,379026,2,1,1,1,0,0,0,0,0,1,1,1,0,0,0,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,5379,379194,3,0,3,15,1,0,0,1,0,4,7,0,0,0,5,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,5054,379856,3,1,4,4,0,0,0,2,0,0,0,0,0,0,2,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,17971,380080,2,2,2,2,1,0,0,0,0,1,3,0,0,0,1,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,17970,380099,3,0,1,6,1,0,0,0,0,3,5,2,0,0,5,2025-11-12 06:10:08
13383,2025,FIFA.WORLD.U17,17975,380794,2,1,3,1,0,0,0,0,0,1,1,0,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,5379,381510,3,0,5,3,1,0,1,0,0,1,3,0,0,0,5,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,20063,381879,2,1,3,1,1,0,0,0,0,0,0,0,0,0,4,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,17975,382589,2,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,17975,382779,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,5054,383862,3,3,1,0,0,0,0,0,0,0,1,0,0,0,1,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,130886,383889,3,0,0,2,0,0,0,0,0,0,0,0,0,15,5,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,18768,384179,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,5377,384395,3,0,0,2,0,0,0,0,0,0,0,0,0,4,1,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,17975,384397,2,1,2,0,0,0,0,1,0,4,6,2,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,16287,384534,3,0,3,4,0,0,0,0,0,0,2,0,0,0,1,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,5377,385232,3,0,4,5,0,0,0,1,0,1,9,0,0,0,1,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,130891,385427,2,0,3,2,1,0,0,3,0,0,1,0,0,0,1,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,130891,385451,2,0,2,3,0,0,0,0,0,1,1,1,0,0,1,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,16287,385885,3,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,130891,385912,2,0,4,9,1,0,0,0,0,4,8,2,0,0,2,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,6649,386885,3,0,3,5,0,0,0,2,0,3,4,2,0,0,3,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,16287,387383,2,0,1,3,0,0,0,0,0,1,4,0,0,0,0,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,18768,387406,3,0,0,2,0,0,0,0,0,0,0,0,0,8,1,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,16306,387486,2,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,16218,387725,3,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,8419,387739,3,1,0,0,0,0,0,0,0,0,1,0,0,0,11,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,6649,387927,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,5377,387949,3,0,1,1,0,0,0,0,0,4,6,2,0,0,1,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,8420,388472,2,0,3,2,0,0,0,0,0,2,4,0,0,0,1,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,8420,388473,3,1,3,1,0,0,0,2,0,1,7,0,0,0,1,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,17975,388567,2,0,4,1,1,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,16218,388835,2,0,8,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,130891,388939,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,130889,389697,2,0,3,3,0,0,0,1,0,2,4,0,0,0,3,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,5054,390094,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,5054,390095,3,0,0,1,0,0,0,0,0,0,0,0,0,13,4,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,16306,390461,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,5054,391457,2,0,4,0,1,0,0,0,0,2,3,0,0,0,2,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,130889,391785,2,1,1,2,0,0,0,0,0,1,3,1,0,0,3,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,8420,392172,2,1,3,0,0,0,0,0,0,1,3,0,0,0,0,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,8422,392461,2,0,0,0,0,0,0,0,0,2,2,0,0,0,6,2025-11-12 06:10:05
13383,2025,FIFA.WORLD.U17,130889,392469,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,5054,393425,3,1,3,6,0,0,0,0,0,0,1,0,0,0,3,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,16218,394493,3,1,5,1,1,0,0,0,0,2,4,0,0,0,0,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,5054,395463,2,0,3,4,0,0,0,0,0,1,2,0,0,0,4,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,130882,395530,3,0,3,2,0,0,0,0,0,0,1,0,0,0,6,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,5054,395871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,5054,395939,3,1,1,6,0,0,0,1,0,3,8,2,0,0,2,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,17971,396505,2,0,0,0,1,0,0,0,0,0,2,0,0,0,3,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,5054,396748,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,6650,397120,3,0,2,2,1,0,0,0,0,0,0,0,0,0,2,2025-11-12 06:10:01
13383,2025,FIFA.WORLD.U17,16287,397144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,5377,397420,3,1,1,4,0,0,0,1,0,2,4,0,0,0,0,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,6650,397536,3,0,1,7,0,0,0,1,0,0,1,0,0,0,2,2025-11-12 06:10:01
13383,2025,FIFA.WORLD.U17,16218,397554,2,1,2,1,0,0,0,0,0,2,6,0,0,0,0,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,6650,398042,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2025-11-12 06:10:01
13383,2025,FIFA.WORLD.U17,17975,398299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,17975,398302,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,16306,398314,3,1,1,4,0,0,0,2,0,3,4,0,0,0,2,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,16306,398319,3,0,3,2,1,0,0,0,0,1,3,1,0,0,3,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,16306,398320,1,0,1,3,1,0,0,1,0,0,2,0,0,0,0,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,130890,398699,2,0,1,1,0,0,0,1,0,0,1,0,0,0,3,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,130890,398701,2,0,0,2,0,0,0,0,0,5,8,1,0,0,3,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,130890,398702,2,0,2,2,0,0,0,0,0,0,3,0,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,18768,398761,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,5377,398934,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,130887,399000,3,0,2,1,1,0,0,0,0,0,1,0,0,0,11,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,17975,399188,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,130886,399200,3,0,5,4,0,0,0,1,0,3,11,2,0,0,5,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,16306,399348,2,1,1,1,0,0,0,0,0,1,1,1,0,0,2,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,5377,399421,3,3,3,0,0,0,0,0,0,1,1,1,0,0,0,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,8427,399457,3,2,3,3,0,0,0,0,0,2,5,1,0,0,3,2025-11-12 06:10:09
13383,2025,FIFA.WORLD.U17,17976,399824,2,0,6,2,1,0,0,0,0,0,2,0,0,0,2,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,6650,399864,3,1,2,1,0,0,0,0,0,4,6,2,0,0,0,2025-11-12 06:10:01
13383,2025,FIFA.WORLD.U17,8454,399932,2,1,6,4,2,0,0,0,0,1,2,1,0,0,0,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,8420,399980,2,0,0,1,0,0,0,0,0,0,0,0,0,4,1,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,17975,399994,1,0,0,1,0,0,0,0,0,3,5,0,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,8420,400018,3,1,2,4,0,0,0,0,0,3,4,2,0,0,0,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,5054,400112,3,0,4,4,1,0,0,0,0,3,4,0,0,0,4,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,130891,400188,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,5377,400263,3,0,5,2,1,0,0,0,0,2,3,1,0,0,1,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,5054,400284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,5377,400312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,5377,400315,3,0,2,3,0,0,0,0,0,4,7,3,0,0,1,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,16306,400453,2,1,1,1,1,0,0,0,0,1,3,0,0,0,1,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,16306,400455,3,0,3,1,1,0,0,0,0,2,3,1,0,0,3,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,16306,400457,3,0,3,0,0,0,0,0,0,1,4,0,0,0,2,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,130891,400628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:07
13383,2025,FIFA.WORLD.U17,5054,400749,2,1,3,3,0,0,0,1,0,2,4,1,0,0,1,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,8415,400788,2,0,1,6,0,0,0,0,0,1,1,0,0,0,0,2025-11-12 06:10:01
13383,2025,FIFA.WORLD.U17,4956,400982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,130882,400990,3,0,0,0,0,0,0,0,0,0,0,0,0,16,7,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,8412,400994,3,1,1,2,0,0,0,0,0,4,6,2,0,0,0,2025-11-12 06:09:55
13383,2025,FIFA.WORLD.U17,17976,401113,1,0,2,2,0,0,0,0,0,1,2,0,0,0,2,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,16306,401194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:11
13383,2025,FIFA.WORLD.U17,5054,401213,3,2,2,3,1,0,0,0,0,3,6,3,0,0,1,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,17975,401367,2,1,6,0,0,0,0,0,0,0,1,0,0,0,1,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,17976,401641,2,1,2,6,0,0,0,1,0,2,3,0,0,0,1,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,17971,401961,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,17975,402315,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:10:10
13383,2025,FIFA.WORLD.U17,5377,402423,3,0,5,4,1,0,0,1,0,0,4,0,0,0,1,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,130882,402514,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,17971,402566,2,2,3,0,0,0,0,0,0,1,3,0,0,0,1,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,17971,402568,2,1,4,2,0,0,0,0,0,0,3,0,0,0,0,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,17971,402586,2,0,6,1,0,0,0,0,0,1,1,0,0,0,3,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,8412,402608,3,1,1,2,0,0,0,1,0,0,8,0,0,0,1,2025-11-12 06:09:55
13383,2025,FIFA.WORLD.U17,5377,402620,2,2,3,1,0,0,0,0,0,0,2,0,0,0,0,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,17971,402635,2,2,4,3,0,0,0,0,0,0,2,0,0,0,1,2025-11-12 06:10:06
13383,2025,FIFA.WORLD.U17,5377,402701,3,2,3,2,0,0,0,0,0,0,1,0,0,0,1,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,130888,402779,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2025-11-12 06:10:09
13383,2025,FIFA.WORLD.U17,6649,402899,3,0,0,1,0,0,0,0,0,0,1,0,0,0,3,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,5054,402949,3,1,8,2,1,0,0,0,0,4,8,1,0,0,4,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,130882,402993,3,2,4,0,0,0,0,0,0,0,0,0,0,0,6,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,18768,403130,3,0,3,1,2,0,0,1,0,4,7,1,0,0,1,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,16218,403149,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,8420,403274,3,1,3,3,0,0,0,0,0,4,11,0,0,0,1,2025-11-12 06:10:03
13383,2025,FIFA.WORLD.U17,6649,403318,3,1,3,0,0,0,0,0,0,5,16,4,0,0,0,2025-11-12 06:09:56
13383,2025,FIFA.WORLD.U17,18768,403334,3,0,6,1,0,0,0,0,0,0,3,0,0,0,1,2025-11-12 06:09:58
13383,2025,FIFA.WORLD.U17,16287,403381,3,0,4,1,1,0,0,0,0,4,6,2,0,0,1,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,16295,403413,2,0,5,2,0,0,0,0,0,1,1,0,0,0,8,2025-11-12 06:10:04
13383,2025,FIFA.WORLD.U17,8415,403417,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2025-11-12 06:10:01
13383,2025,FIFA.WORLD.U17,8427,403420,3,0,3,7,1,0,0,0,0,2,5,2,0,0,2,2025-11-12 06:10:09
13383,2025,FIFA.WORLD.U17,20063,403447,3,0,3,6,0,0,0,0,0,1,3,0,0,0,16,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,20063,403448,3,1,1,4,0,0,0,1,0,1,3,0,0,0,10,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,20063,403449,3,0,2,7,0,0,0,1,0,5,7,1,0,0,16,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,130888,403463,3,3,2,1,1,0,0,0,0,0,0,0,0,0,2,2025-11-12 06:10:09
13383,2025,FIFA.WORLD.U17,22031,403526,3,0,2,2,0,0,0,0,0,0,1,0,0,0,7,2025-11-12 06:10:02
13383,2025,FIFA.WORLD.U17,4956,403544,2,0,4,0,0,1,0,0,0,0,1,0,0,0,3,2025-11-12 06:09:59
13383,2025,FIFA.WORLD.U17,8454,403565,2,1,3,2,0,0,0,0,0,2,3,0,0,0,0,2025-11-12 06:09:57
13383,2025,FIFA.WORLD.U17,130888,403649,2,0,3,5,1,0,0,0,0,3,5,1,0,0,0,2025-11-12 06:10:09
13383,2025,FIFA.WORLD.U17,130887,403744,2,2,2,1,0,0,0,0,0,0,0,0,0,0,5,2025-11-12 06:10:00
13383,2025,FIFA.WORLD.U17,130887,403749,1,0,0,4,0,0,0,0,0,1,1,0,0,0,3,2025-11-12 06:10:00
