seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12673,2024,NED.1,5291,4804,26,5,16,7,0,0,1,1,0,2,10,0,0,13,37,2025-05-20 04:47:10
12673,2024,NED.1,2727,67334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,151,69579,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,2025-05-20 04:47:16
12673,2024,NED.1,139,78836,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-08-31 04:53:11
12673,2024,NED.1,153,83494,22,7,17,32,5,0,0,3,0,18,53,7,0,1,14,2025-05-20 04:47:11
12673,2024,NED.1,139,83802,24,0,0,2,0,0,1,1,3,1,1,0,234,67,22,2025-05-20 04:47:09
12673,2024,NED.1,2727,84843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,148,103485,27,6,15,7,4,0,0,8,3,17,41,9,0,2,30,2025-05-20 04:47:15
12673,2024,NED.1,155,105351,22,15,10,8,3,1,0,0,2,9,17,3,0,3,23,2025-05-20 04:47:16
12673,2024,NED.1,2727,121850,23,0,11,15,3,0,0,2,6,0,8,0,0,13,54,2024-07-13 02:53:19
12673,2024,NED.1,156,122636,29,16,47,25,6,1,0,1,0,10,31,3,0,3,25,2025-05-20 04:47:17
12673,2024,NED.1,147,122954,15,6,14,6,3,0,0,0,2,10,27,4,0,1,12,2025-05-20 04:47:14
12673,2024,NED.1,152,124932,26,10,43,21,3,0,0,1,2,20,37,7,0,7,25,2025-05-20 04:47:11
12673,2024,NED.1,152,125136,3,0,0,0,0,0,0,0,0,0,0,0,32,9,10,2025-05-20 04:47:11
12673,2024,NED.1,147,125165,17,15,4,3,1,1,0,0,0,1,2,0,0,3,6,2025-05-20 04:47:14
12673,2024,NED.1,155,125279,17,8,5,9,1,1,0,0,1,0,2,0,0,4,25,2025-05-20 04:47:16
12673,2024,NED.1,3708,126248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-20 04:47:13
12673,2024,NED.1,2565,127053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-20 04:47:14
12673,2024,NED.1,139,127262,28,7,12,6,6,0,0,4,10,2,11,1,0,9,22,2025-05-20 04:47:09
12673,2024,NED.1,148,127420,31,2,11,23,3,0,0,8,1,29,96,14,0,5,32,2025-05-20 04:47:15
12673,2024,NED.1,154,127444,34,0,1,2,1,0,0,0,4,0,0,0,449,151,73,2024-07-13 02:53:13
12673,2024,NED.1,142,129285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-29 04:53:50
12673,2024,NED.1,140,130177,6,0,0,0,0,0,0,0,0,0,0,0,46,10,2,2025-05-20 04:47:09
12673,2024,NED.1,153,131354,33,0,19,11,2,1,0,1,1,7,14,3,0,32,43,2025-05-20 04:47:11
12673,2024,NED.1,143,132666,31,2,20,10,3,0,0,3,2,0,3,0,0,6,40,2025-05-20 04:47:12
12673,2024,NED.1,2565,134515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-24 04:48:32
12673,2024,NED.1,154,137087,2,1,2,0,0,0,0,0,0,0,0,0,0,2,1,2024-07-13 02:53:13
12673,2024,NED.1,141,137780,1,0,0,0,0,0,0,0,0,0,0,0,8,2,3,2025-05-20 04:47:14
12673,2024,NED.1,145,138664,31,6,19,9,8,0,1,3,2,10,35,4,0,9,39,2025-05-20 04:47:10
12673,2024,NED.1,151,138746,21,1,14,4,4,0,0,0,1,0,17,0,0,7,22,2025-05-20 04:47:16
12673,2024,NED.1,155,139579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-20 04:47:16
12673,2024,NED.1,147,140350,26,6,14,9,4,0,0,0,0,5,13,1,0,15,27,2025-05-20 04:47:14
12673,2024,NED.1,153,142517,31,15,11,7,0,0,1,5,1,9,28,1,0,1,18,2025-05-20 04:47:11
12673,2024,NED.1,154,146519,30,7,27,24,2,1,0,2,4,15,57,7,0,5,43,2024-07-13 02:53:13
12673,2024,NED.1,154,147064,27,3,27,13,2,1,0,1,4,2,6,1,0,19,58,2024-07-13 02:53:13
12673,2024,NED.1,152,148868,31,0,0,2,0,0,0,0,1,0,0,0,283,65,39,2025-05-20 04:47:11
12673,2024,NED.1,140,149301,10,4,8,6,1,0,0,0,2,0,3,0,0,1,10,2025-05-20 04:47:09
12673,2024,NED.1,139,149577,26,10,11,10,2,0,0,5,3,8,33,2,0,1,15,2025-05-20 04:47:09
12673,2024,NED.1,142,149904,19,3,23,9,5,0,0,0,0,2,13,0,0,16,22,2025-05-20 04:47:12
12673,2024,NED.1,140,150166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-20 04:47:09
12673,2024,NED.1,156,150194,18,0,6,7,2,0,0,0,3,1,5,0,0,19,35,2025-05-20 04:47:17
12673,2024,NED.1,140,150199,23,3,15,14,3,0,0,2,4,1,11,0,0,2,17,2025-05-20 04:47:09
