seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13567,2025,POR.1,21581,46976,2,1,0,1,0,0,0,0,0,0,0,0,0,2,3,2025-12-10 06:01:23
13567,2025,POR.1,2994,50959,11,3,12,7,2,0,0,0,0,3,7,0,0,0,10,2025-12-10 06:01:22
13567,2025,POR.1,3696,75433,6,0,0,1,1,0,0,0,0,0,0,0,0,26,12,2025-12-10 06:01:24
13567,2025,POR.1,21610,77873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:23
13567,2025,POR.1,3472,82009,13,0,18,11,4,0,0,0,7,19,34,7,0,0,13,2025-12-10 06:01:22
13567,2025,POR.1,22064,82720,12,0,12,11,3,0,0,0,0,0,0,0,0,0,28,2025-12-10 06:01:21
13567,2025,POR.1,21613,85096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:21
13567,2025,POR.1,2994,92335,6,1,4,2,1,0,0,0,0,0,0,0,0,0,5,2025-12-10 06:01:22
13567,2025,POR.1,12706,93334,8,4,8,6,1,1,0,0,0,0,1,0,0,0,7,2025-12-10 06:01:26
13567,2025,POR.1,21613,97026,13,2,23,16,3,0,0,0,4,9,19,5,0,0,14,2025-12-10 06:01:21
13567,2025,POR.1,2994,98573,11,8,9,9,2,0,0,1,0,2,8,0,0,0,4,2025-12-10 06:01:22
13567,2025,POR.1,21581,104172,11,0,8,5,2,0,0,0,0,1,4,1,0,0,21,2025-12-10 06:01:23
13567,2025,POR.1,12698,105237,7,3,6,3,1,0,0,1,0,1,4,0,0,0,5,2025-12-10 06:01:24
13567,2025,POR.1,12215,116745,11,3,11,12,4,1,0,0,0,0,2,0,0,0,6,2025-12-10 06:01:25
13567,2025,POR.1,1929,119289,12,0,8,17,5,0,0,0,0,3,10,1,0,0,6,2025-12-10 06:01:22
13567,2025,POR.1,15784,119440,11,3,15,12,4,0,0,0,0,1,3,0,0,0,20,2025-12-10 06:01:21
13567,2025,POR.1,22064,119532,10,8,11,6,0,0,0,0,2,5,11,1,0,0,4,2025-12-10 06:01:21
13567,2025,POR.1,21613,120708,11,0,5,2,1,0,0,0,0,0,0,0,0,0,17,2025-12-10 06:01:21
13567,2025,POR.1,3472,124019,10,0,13,13,1,0,0,0,0,1,5,0,0,0,13,2025-12-10 06:01:22
13567,2025,POR.1,22064,124021,9,8,7,3,1,0,0,0,2,5,11,2,0,0,6,2025-12-10 06:01:21
13567,2025,POR.1,15784,124228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-13 04:44:09
13567,2025,POR.1,437,127420,5,3,3,2,1,0,0,0,4,3,6,1,0,0,1,2025-12-10 06:01:24
13567,2025,POR.1,5309,127575,13,3,11,23,3,0,0,0,3,7,16,3,0,0,12,2025-12-10 06:01:26
13567,2025,POR.1,21610,130499,13,0,1,1,1,0,0,0,0,0,0,0,0,34,19,2025-12-10 06:01:23
13567,2025,POR.1,22064,130792,7,5,4,6,0,0,0,0,0,1,5,0,0,0,9,2025-12-10 06:01:21
13567,2025,POR.1,22064,138975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:21
13567,2025,POR.1,12706,140388,9,1,15,4,3,0,0,0,4,0,2,0,0,0,10,2025-12-10 06:01:26
13567,2025,POR.1,12216,141624,13,0,0,1,1,0,0,0,0,0,0,0,0,29,21,2025-12-10 06:01:23
13567,2025,POR.1,12215,141692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:25
13567,2025,POR.1,437,142670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:24
13567,2025,POR.1,12216,144046,7,6,3,4,0,0,0,0,0,0,1,0,0,0,4,2025-12-10 06:01:23
13567,2025,POR.1,3696,144905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:24
13567,2025,POR.1,21581,149660,13,4,15,8,3,0,0,0,1,1,1,0,0,0,21,2025-12-10 06:01:23
13567,2025,POR.1,2994,151272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:22
13567,2025,POR.1,22064,151321,9,1,9,28,1,0,0,0,1,3,10,0,0,0,18,2025-12-10 06:01:21
13567,2025,POR.1,21581,156818,12,3,7,20,3,0,0,0,0,0,4,0,0,0,17,2025-12-10 06:01:23
13567,2025,POR.1,3696,158211,7,0,0,2,1,0,0,0,0,0,0,0,0,20,8,2025-12-10 06:01:24
13567,2025,POR.1,3472,165576,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-12-10 06:01:22
13567,2025,POR.1,3699,172285,11,2,5,5,0,0,0,3,1,10,25,0,0,0,4,2025-12-10 06:01:24
13567,2025,POR.1,3472,173228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:22
13567,2025,POR.1,12706,176423,6,0,5,2,1,0,0,2,0,5,9,1,0,0,6,2025-12-10 06:01:26
13567,2025,POR.1,3696,177563,11,0,16,15,5,0,0,0,0,2,7,1,0,0,14,2025-12-10 06:01:24
13567,2025,POR.1,3472,177690,8,8,2,1,0,0,0,0,0,1,2,0,0,0,5,2025-12-10 06:01:22
13567,2025,POR.1,2250,177898,11,0,0,0,1,0,0,0,0,0,0,0,0,23,6,2025-12-10 06:01:25
13567,2025,POR.1,12215,177918,11,0,8,3,2,0,0,0,0,2,4,1,0,0,12,2025-12-10 06:01:25
13567,2025,POR.1,15784,178579,11,5,12,7,1,0,0,1,0,4,11,0,0,0,15,2025-12-10 06:01:21
13567,2025,POR.1,12215,181290,7,0,10,4,2,0,0,0,0,0,2,0,0,0,8,2025-12-10 06:01:25
13567,2025,POR.1,3699,183070,13,0,10,4,2,0,0,0,2,1,9,0,0,0,6,2025-12-10 06:01:24
13567,2025,POR.1,3472,183972,10,8,7,4,2,0,0,0,0,0,2,0,0,0,8,2025-12-10 06:01:22
13567,2025,POR.1,22064,184036,5,0,3,2,1,0,0,0,0,1,7,0,0,0,8,2025-12-10 06:01:21
13567,2025,POR.1,2994,184423,11,2,6,9,1,0,0,0,0,16,26,6,0,0,7,2025-12-10 06:01:22
13567,2025,POR.1,12216,185343,13,0,17,16,4,0,0,4,2,14,29,3,0,0,21,2025-12-10 06:01:23
13567,2025,POR.1,22064,185902,12,2,21,11,1,0,0,0,0,0,4,0,0,0,24,2025-12-10 06:01:21
13567,2025,POR.1,12706,187884,10,4,9,6,1,0,0,0,1,3,14,1,0,0,8,2025-12-10 06:01:26
13567,2025,POR.1,5309,189474,4,1,8,6,3,0,0,0,0,2,7,1,0,0,7,2025-09-04 05:03:18
13567,2025,POR.1,21613,192505,12,10,11,9,0,0,0,2,1,4,4,2,0,0,5,2025-12-10 06:01:21
13567,2025,POR.1,22064,194019,4,0,7,5,1,0,0,0,0,0,0,0,0,0,9,2025-12-10 06:01:21
13567,2025,POR.1,2250,200939,3,3,1,1,0,0,0,1,0,0,2,0,0,0,0,2025-12-10 06:01:25
13567,2025,POR.1,21581,201763,13,4,18,30,3,0,0,0,0,4,7,2,0,0,15,2025-12-10 06:01:23
13567,2025,POR.1,22064,202353,8,0,0,0,1,0,0,0,0,0,0,0,0,19,20,2025-12-10 06:01:21
13567,2025,POR.1,3696,202570,12,1,16,13,1,0,0,1,3,13,22,8,0,0,10,2025-12-10 06:01:24
13567,2025,POR.1,3822,206601,6,0,4,2,2,0,0,0,0,0,0,0,0,0,10,2025-12-10 06:01:25
13567,2025,POR.1,5309,206714,8,3,8,10,0,0,0,1,3,2,11,1,0,0,5,2025-12-10 06:01:26
13567,2025,POR.1,12706,206735,5,1,2,2,1,0,0,0,1,0,1,0,0,0,9,2025-12-10 06:01:26
13567,2025,POR.1,1929,212900,13,0,13,9,0,0,0,0,1,2,14,1,0,0,8,2025-12-10 06:01:22
13567,2025,POR.1,3472,215279,13,8,8,8,1,0,0,0,2,2,9,0,0,0,12,2025-12-10 06:01:22
13567,2025,POR.1,12698,215742,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:24
13567,2025,POR.1,12215,215818,7,5,1,6,1,0,0,0,0,1,1,0,0,0,0,2025-12-10 06:01:25
13567,2025,POR.1,21613,216021,10,1,13,24,1,0,0,2,3,7,13,2,0,0,8,2025-12-10 06:01:21
13567,2025,POR.1,12706,216035,9,2,9,8,1,0,0,0,8,6,14,0,0,0,10,2025-12-10 06:01:26
13567,2025,POR.1,5309,216134,4,0,0,1,0,0,0,0,0,0,0,0,0,14,8,2025-12-10 06:01:26
13567,2025,POR.1,21610,216290,11,9,6,5,1,0,0,1,0,3,9,1,0,0,4,2025-12-10 06:01:23
13567,2025,POR.1,3472,216371,12,0,21,13,1,1,0,0,1,1,9,0,0,0,16,2025-12-10 06:01:22
13567,2025,POR.1,15784,217150,9,9,3,3,1,0,0,0,0,1,5,0,0,0,7,2025-12-10 06:01:21
13567,2025,POR.1,5309,218262,12,0,16,1,1,0,1,2,2,1,6,0,0,0,14,2025-12-10 06:01:26
13567,2025,POR.1,12706,218691,5,2,5,2,2,0,0,0,0,1,1,0,0,0,6,2025-12-10 06:01:26
13567,2025,POR.1,3696,219004,11,0,12,6,4,1,0,0,2,1,1,1,0,0,14,2025-12-10 06:01:24
13567,2025,POR.1,2994,219304,7,4,2,8,1,0,0,0,0,1,3,0,0,0,3,2025-12-10 06:01:22
13567,2025,POR.1,12698,219663,7,2,8,1,2,0,0,1,0,1,2,0,0,0,1,2025-12-10 06:01:24
13567,2025,POR.1,1929,220819,13,1,8,13,2,0,0,3,8,21,40,10,0,0,7,2025-12-10 06:01:22
13567,2025,POR.1,437,221788,13,0,20,10,4,0,0,0,0,2,5,0,0,0,3,2025-12-10 06:01:24
13567,2025,POR.1,3822,221848,2,2,2,0,1,0,0,0,0,2,3,0,0,0,2,2025-10-07 05:20:47
13567,2025,POR.1,437,223776,9,6,5,9,4,0,0,0,0,1,1,1,0,0,1,2025-12-10 06:01:24
13567,2025,POR.1,22064,225168,4,3,2,3,0,0,0,0,0,0,0,0,0,0,2,2025-12-10 06:01:21
13567,2025,POR.1,3472,225543,13,1,14,11,4,0,0,0,2,3,10,2,0,0,16,2025-12-10 06:01:22
13567,2025,POR.1,437,225555,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:24
13567,2025,POR.1,12215,228401,13,0,0,2,0,0,0,0,0,0,0,0,0,35,14,2025-12-10 06:01:25
13567,2025,POR.1,3472,228403,13,0,19,20,4,0,0,3,0,1,12,0,0,0,15,2025-12-10 06:01:22
13567,2025,POR.1,21581,228458,10,0,2,5,2,1,0,0,0,0,0,0,0,23,17,2025-12-10 06:01:23
13567,2025,POR.1,12706,228595,11,2,23,3,3,0,0,0,0,1,2,1,0,0,13,2025-12-10 06:01:26
13567,2025,POR.1,1929,229443,6,1,6,6,1,0,0,3,2,7,16,0,0,0,3,2025-12-10 06:01:22
13567,2025,POR.1,12698,229573,13,3,15,14,3,0,0,3,0,6,24,1,0,0,8,2025-12-10 06:01:24
13567,2025,POR.1,21581,231196,13,0,6,30,2,0,0,3,4,12,21,3,0,0,27,2025-12-10 06:01:23
13567,2025,POR.1,22064,233056,2,1,1,1,1,0,0,0,0,0,1,0,0,0,2,2025-12-10 06:01:21
13567,2025,POR.1,21613,234912,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 06:01:21
13567,2025,POR.1,3822,234940,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 06:01:25
13567,2025,POR.1,3472,236200,6,0,0,1,1,0,0,0,0,0,0,0,0,18,10,2025-12-10 06:01:22
13567,2025,POR.1,12216,238901,10,5,9,2,1,0,0,0,0,1,3,0,0,0,10,2025-12-10 06:01:23
13567,2025,POR.1,437,238903,13,0,0,1,1,0,0,0,0,0,0,0,0,19,3,2025-12-10 06:01:24
13567,2025,POR.1,21581,239216,6,5,9,2,1,0,0,0,0,3,8,0,0,0,3,2025-12-10 06:01:23
13567,2025,POR.1,12698,240259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:24
13567,2025,POR.1,22064,241197,9,6,4,4,2,0,0,1,0,1,2,0,0,0,7,2025-12-10 06:01:21
13567,2025,POR.1,12216,243734,12,0,16,17,5,0,0,3,0,5,20,1,0,0,17,2025-12-10 06:01:23
13567,2025,POR.1,3822,243754,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:25
13567,2025,POR.1,12216,245913,11,4,3,16,0,0,0,2,0,5,7,2,0,0,8,2025-12-10 06:01:23
13567,2025,POR.1,21581,248860,13,0,14,6,3,0,0,1,0,4,13,0,0,0,26,2025-12-10 06:01:23
13567,2025,POR.1,3822,249163,13,0,19,14,0,0,0,1,0,10,19,1,0,0,16,2025-12-10 06:01:25
13567,2025,POR.1,21610,250059,8,2,19,25,2,0,0,0,1,6,17,0,0,0,10,2025-12-10 06:01:23
13567,2025,POR.1,3822,250068,10,9,4,4,0,0,0,0,1,0,4,0,0,0,3,2025-12-10 06:01:25
13567,2025,POR.1,3699,250759,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-10 06:01:24
13567,2025,POR.1,3699,250888,13,0,14,12,3,0,0,0,0,3,7,0,0,0,6,2025-12-10 06:01:24
13567,2025,POR.1,2994,250906,4,0,8,2,2,0,0,0,0,1,3,1,0,0,1,2025-12-10 06:01:22
13567,2025,POR.1,3472,251494,3,2,2,2,0,0,0,0,0,0,1,0,0,0,1,2025-12-10 06:01:22
13567,2025,POR.1,5309,252095,9,4,3,5,1,0,0,1,1,3,8,2,0,0,6,2025-12-10 06:01:26
13567,2025,POR.1,21581,254447,5,0,2,5,2,0,0,0,0,1,5,1,0,0,9,2025-12-10 06:01:23
13567,2025,POR.1,2994,255249,7,0,5,0,1,0,0,0,1,0,10,0,0,0,6,2025-12-10 06:01:22
13567,2025,POR.1,1929,256607,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2025-10-07 05:20:44
13567,2025,POR.1,15784,256725,7,2,5,5,2,1,1,0,0,0,0,0,0,0,13,2025-12-10 06:01:21
13567,2025,POR.1,437,256909,10,0,9,21,1,0,0,2,3,3,10,2,0,0,2,2025-12-10 06:01:24
13567,2025,POR.1,21581,258918,4,1,5,4,0,0,0,1,0,0,1,0,0,0,1,2025-12-10 06:01:23
13567,2025,POR.1,2250,258923,10,7,6,11,0,0,0,0,1,1,6,0,0,0,4,2025-12-10 06:01:25
13567,2025,POR.1,2250,259871,6,1,7,6,2,0,0,0,1,2,4,2,0,0,4,2025-12-10 06:01:25
13567,2025,POR.1,15784,261222,4,0,0,1,0,0,1,0,0,0,0,0,0,17,13,2025-12-10 06:01:21
