seasonType,eventId,keyEventOrder,playId,keyEventTypeId,period,clockValue,clockDisplayValue,scoringPlay,shootout,keyEventText,keyEventShortText,teamId,goalPositionX,goalPositionY,fieldPositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,participantOrder,athleteId,updateDateTime
13812,760710,1,46446086,94,1,1260,21',0,0,Quinito (Petro de Luanda) Yellow Card at 21',Quinito Yellow Card,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,318607.0,2025-11-27 06:09:14
13812,760710,3,46446569,76,2,3180,53',0,0,Jonathan Sowah (Simba SC) Substitution at 53',Jonathan Sowah Substitution,19414,0.0,0.0,0.0,0.0,0.0,0.0,1,370026.0,2025-11-25 03:07:07
13812,760710,2,46446555,76,2,3180,53',0,0,Jean Ahoua (Simba SC) Substitution at 53',Jean Ahoua Substitution,19414,0.0,0.0,0.0,0.0,0.0,0.0,1,396879.0,2025-11-25 03:07:07
13812,760710,3,46446569,76,2,3180,53',0,0,Jonathan Sowah (Simba SC) Substitution at 53',Jonathan Sowah Substitution,19414,0.0,0.0,0.0,0.0,0.0,0.0,2,337305.0,2025-11-25 03:07:07
13812,760710,2,46446555,76,2,3180,53',0,0,Jean Ahoua (Simba SC) Substitution at 53',Jean Ahoua Substitution,19414,0.0,0.0,0.0,0.0,0.0,0.0,2,312846.0,2025-11-25 03:07:07
13812,760710,4,46446673,94,2,3600,60',0,0,Jonathan Toro (Petro de Luanda) Yellow Card at 60',Jonathan Toro Yellow Card,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,272211.0,2025-11-25 03:07:07
13812,760710,5,46446703,76,2,3780,63',0,0,Gilberto (Petro de Luanda) Substitution at 63',Gilberto Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,354975.0,2025-11-27 06:09:14
13812,760710,5,46446703,76,2,3780,63',0,0,Gilberto (Petro de Luanda) Substitution at 63',Gilberto Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,316732.0,2025-11-27 06:09:14
13812,760710,5,46446703,76,2,3780,63',0,0,Gilberto (Petro de Luanda) Substitution at 63',Gilberto Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,253936.0,2025-11-27 06:09:14
13812,760710,5,46446703,76,2,3780,63',0,0,Gilberto (Petro de Luanda) Substitution at 63',Gilberto Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,251846.0,2025-11-27 06:09:14
13812,760710,5,46446703,76,2,3780,63',0,0,Gilberto (Petro de Luanda) Substitution at 63',Gilberto Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,199679.0,2025-11-27 06:09:14
13812,760710,5,46446703,76,2,3780,63',0,0,Gilberto (Petro de Luanda) Substitution at 63',Gilberto Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,198761.0,2025-11-27 06:09:14
13812,760710,5,46446703,76,2,3780,63',0,0,Gilberto (Petro de Luanda) Substitution at 63',Gilberto Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,2,414914.0,2025-11-27 06:09:14
13812,760710,6,46446704,76,2,3840,64',0,0,Tiago Reis (Petro de Luanda) Substitution at 64',Tiago Reis Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,285656.0,2025-11-27 06:09:14
13812,760710,6,46446704,76,2,3840,64',0,0,Tiago Reis (Petro de Luanda) Substitution at 64',Tiago Reis Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,2,335413.0,2025-11-27 06:09:14
13812,760710,7,46446805,76,2,4380,73',0,0,Ladaki Juma (Simba SC) Substitution at 73',Ladaki Juma Substitution,19414,0.0,0.0,0.0,0.0,0.0,0.0,1,376927.0,2025-11-25 03:07:07
13812,760710,7,46446805,76,2,4380,73',0,0,Ladaki Juma (Simba SC) Substitution at 73',Ladaki Juma Substitution,19414,0.0,0.0,0.0,0.0,0.0,0.0,2,363564.0,2025-11-25 03:07:07
13812,760710,8,46446873,70,2,4680,78',1,0,Bernardo Oliveira (Petro de Luanda) Goal at 78',Bernardo Oliveira Goal,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,241696.0,2025-11-28 06:15:23
13812,760710,9,46446973,76,2,5040,84',0,0,Steven Mukwala (Simba SC) Substitution at 84',Steven Mukwala Substitution,19414,0.0,0.0,0.0,0.0,0.0,0.0,1,320061.0,2025-11-25 03:07:07
13812,760710,9,46446973,76,2,5040,84',0,0,Steven Mukwala (Simba SC) Substitution at 84',Steven Mukwala Substitution,19414,0.0,0.0,0.0,0.0,0.0,0.0,2,321296.0,2025-11-25 03:07:07
13812,760710,10,46447001,76,2,5160,86',0,0,Vidinho (Petro de Luanda) Substitution at 86',Vidinho Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,326280.0,2025-11-25 03:07:07
13812,760710,10,46447001,76,2,5160,86',0,0,Vidinho (Petro de Luanda) Substitution at 86',Vidinho Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,314477.0,2025-11-25 03:07:07
13812,760710,10,46447001,76,2,5160,86',0,0,Vidinho (Petro de Luanda) Substitution at 86',Vidinho Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,2,354194.0,2025-11-25 03:07:07
13812,760710,10,46447001,76,2,5160,86',0,0,Vidinho (Petro de Luanda) Substitution at 86',Vidinho Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,2,344903.0,2025-11-25 03:07:07
13812,760710,11,46447022,76,2,5220,87',0,0,Julinho (Petro de Luanda) Substitution at 87',Julinho Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,354185.0,2025-11-25 03:07:07
13812,760710,11,46447022,76,2,5220,87',0,0,Julinho (Petro de Luanda) Substitution at 87',Julinho Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,341855.0,2025-11-25 03:07:07
13812,760710,11,46447022,76,2,5220,87',0,0,Julinho (Petro de Luanda) Substitution at 87',Julinho Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,1,143889.0,2025-11-25 03:07:07
13812,760710,11,46447022,76,2,5220,87',0,0,Julinho (Petro de Luanda) Substitution at 87',Julinho Substitution,19436,0.0,0.0,0.0,0.0,0.0,0.0,2,241696.0,2025-11-25 03:07:07
13812,760710,12,46447091,94,2,5400,90',0,0,Jean Ahoua (Simba SC) Yellow Card at 90',Jean Ahoua Yellow Card,19414,0.0,0.0,0.0,0.0,0.0,0.0,1,396879.0,2025-11-25 03:07:07
13812,760711,1,46440662,97,1,780,13',1,0,Aaron Katebe (Power Dynamos) Own Goal at 13',Aaron Katebe Own Goal,19221,0.0,0.0,0.0,0.0,0.0,0.0,1,173796.0,2025-11-23 06:10:36
13812,760711,2,46440699,70,1,960,16',1,0,Mounir Chouiar (RSB Berkane) Goal at 16',Mounir Chouiar Goal,19221,0.0,0.0,0.0,0.0,0.0,0.0,1,240368.0,2025-11-23 06:10:36
13812,760711,3,46440832,76,1,1500,25',0,0,Rayane Aabid (RSB Berkane) Substitution at 25',Rayane Aabid Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,1,232208.0,2025-11-23 06:10:36
13812,760711,3,46440832,76,1,1500,25',0,0,Rayane Aabid (RSB Berkane) Substitution at 25',Rayane Aabid Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,2,360333.0,2025-11-23 06:10:36
13812,760711,4,46440935,94,1,2040,34',0,0,Hamza El Moussaoui (RSB Berkane) Yellow Card at 34',Hamza El Moussaoui Yellow Card,19221,0.0,0.0,0.0,0.0,0.0,0.0,1,214496.0,2025-11-23 06:10:36
13812,760711,5,46440942,94,1,2160,36',0,0,Daniel Adoko (Power Dynamos) Yellow Card at 36',Daniel Adoko Yellow Card,8054,0.0,0.0,0.0,0.0,0.0,0.0,1,315846.0,2025-11-23 06:10:36
13812,760711,6,46441129,76,2,2700,45',0,0,Chifundo Mphasi (Power Dynamos) Substitution at 45',Chifundo Mphasi Substitution,8054,0.0,0.0,0.0,0.0,0.0,0.0,1,363767.0,2025-11-23 06:10:36
13812,760711,6,46441129,76,2,2700,45',0,0,Chifundo Mphasi (Power Dynamos) Substitution at 45',Chifundo Mphasi Substitution,8054,0.0,0.0,0.0,0.0,0.0,0.0,2,414849.0,2025-11-23 06:10:36
13812,760711,7,46441197,76,2,3060,51',0,0,Amine Azri (RSB Berkane) Substitution at 51',Amine Azri Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,1,414533.0,2025-11-23 06:10:36
13812,760711,7,46441197,76,2,3060,51',0,0,Amine Azri (RSB Berkane) Substitution at 51',Amine Azri Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,2,377519.0,2025-11-23 06:10:36
13812,760711,8,46441348,98,2,3900,65',1,0,Paul Bassene (RSB Berkane) Penalty - Scored at 65',Paul Bassene Penalty - Scored,19221,0.0,0.0,0.0,0.0,0.0,0.0,1,313848.0,2025-11-23 06:10:36
13812,760711,9,46441416,76,2,4140,69',0,0,Kapembwa Musonda (Power Dynamos) Substitution at 69',Kapembwa Musonda Substitution,8054,0.0,0.0,0.0,0.0,0.0,0.0,1,414852.0,2025-11-23 06:10:36
13812,760711,9,46441416,76,2,4140,69',0,0,Kapembwa Musonda (Power Dynamos) Substitution at 69',Kapembwa Musonda Substitution,8054,0.0,0.0,0.0,0.0,0.0,0.0,2,315846.0,2025-11-23 06:10:36
13812,760711,12,46441521,76,2,4620,77',0,0,Youness El Kaabi (RSB Berkane) Substitution at 77',Youness El Kaabi Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,1,408158.0,2025-11-23 06:10:36
13812,760711,10,46441495,76,2,4620,77',0,0,Reda Hajji (RSB Berkane) Substitution at 77',Reda Hajji Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,1,317803.0,2025-11-23 06:10:36
13812,760711,11,46441520,76,2,4620,77',0,0,Ismal Kandouss (RSB Berkane) Substitution at 77',Ismal Kandouss Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,1,287247.0,2025-11-23 06:10:36
13812,760711,11,46441520,76,2,4620,77',0,0,Ismal Kandouss (RSB Berkane) Substitution at 77',Ismal Kandouss Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,2,218212.0,2025-11-23 06:10:36
13812,760711,10,46441495,76,2,4620,77',0,0,Reda Hajji (RSB Berkane) Substitution at 77',Reda Hajji Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,2,285653.0,2025-11-23 06:10:36
13812,760711,12,46441521,76,2,4620,77',0,0,Youness El Kaabi (RSB Berkane) Substitution at 77',Youness El Kaabi Substitution,19221,0.0,0.0,0.0,0.0,0.0,0.0,2,313848.0,2025-11-23 06:10:36
13812,760711,13,46441559,76,2,4740,79',0,0,Brian Masanyinga (Power Dynamos) Substitution at 79',Brian Masanyinga Substitution,8054,0.0,0.0,0.0,0.0,0.0,0.0,1,414846.0,2025-11-23 06:10:36
13812,760711,13,46441559,76,2,4740,79',0,0,Brian Masanyinga (Power Dynamos) Substitution at 79',Brian Masanyinga Substitution,8054,0.0,0.0,0.0,0.0,0.0,0.0,2,363368.0,2025-11-23 06:10:36
13812,760711,14,46441647,76,2,5100,85',0,0,Salulani Phiri (Power Dynamos) Substitution at 85',Salulani Phiri Substitution,8054,0.0,0.0,0.0,0.0,0.0,0.0,1,181381.0,2025-11-23 06:10:36
13812,760711,14,46441647,76,2,5100,85',0,0,Salulani Phiri (Power Dynamos) Substitution at 85',Salulani Phiri Substitution,8054,0.0,0.0,0.0,0.0,0.0,0.0,2,363281.0,2025-11-23 06:10:36
13812,760712,1,46433288,94,1,1920,32',0,0,Maxi Nzengeli (Young Africans) Yellow Card at 32',Maxi Nzengeli Yellow Card,19223,0.0,0.0,0.0,0.0,0.0,0.0,1,377171.0,2025-11-22 15:16:26
13812,760712,2,46433619,76,2,2700,45',0,0,Abdelfattah Hadraf (FAR Rabat) Substitution at 45',Abdelfattah Hadraf Substitution,21801,0.0,0.0,0.0,0.0,0.0,0.0,1,359000.0,2025-11-22 15:16:26
13812,760712,3,46433637,76,2,2700,45',0,0,Hamza Khabba (FAR Rabat) Substitution at 45',Hamza Khabba Substitution,21801,0.0,0.0,0.0,0.0,0.0,0.0,1,358700.0,2025-11-22 15:16:26
13812,760712,3,46433637,76,2,2700,45',0,0,Hamza Khabba (FAR Rabat) Substitution at 45',Hamza Khabba Substitution,21801,0.0,0.0,0.0,0.0,0.0,0.0,2,313074.0,2025-11-22 15:16:26
13812,760712,2,46433619,76,2,2700,45',0,0,Abdelfattah Hadraf (FAR Rabat) Substitution at 45',Abdelfattah Hadraf Substitution,21801,0.0,0.0,0.0,0.0,0.0,0.0,2,396856.0,2025-11-22 15:16:26
13812,760712,5,46433867,94,2,3420,57',0,0,Reda Tagnaouti (FAR Rabat) Yellow Card at 57',Reda Tagnaouti Yellow Card,21801,0.0,0.0,0.0,0.0,0.0,0.0,1,195240.0,2025-11-22 15:16:26
13812,760712,4,46433851,76,2,3420,57',0,0,Edmund John (Young Africans) Substitution at 57',Edmund John Substitution,19223,0.0,0.0,0.0,0.0,0.0,0.0,1,410099.0,2025-11-22 15:16:26
13812,760712,4,46433851,76,2,3420,57',0,0,Edmund John (Young Africans) Substitution at 57',Edmund John Substitution,19223,0.0,0.0,0.0,0.0,0.0,0.0,2,398445.0,2025-11-22 15:16:26
13812,760712,6,46433869,70,2,3480,58',1,0,Prince Dube (Young Africans) Goal at 58',Prince Dube Goal,19223,0.0,0.0,0.0,0.0,0.0,0.0,1,255148.0,2025-11-22 15:16:26
13812,760712,7,46433982,94,2,3840,64',0,0,Mudathiri Yahya (Young Africans) Yellow Card at 64',Mudathiri Yahya Yellow Card,19223,0.0,0.0,0.0,0.0,0.0,0.0,1,187663.0,2025-11-22 15:16:26
13812,760712,8,46433988,76,2,3960,66',0,0,Lassine Kouma (Young Africans) Substitution at 66',Lassine Kouma Substitution,19223,0.0,0.0,0.0,0.0,0.0,0.0,1,377499.0,2025-11-22 15:16:26
