seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13371,735806,3067,away,1,3-4-3,1,0,11,305191,Levente Szabo,Substitute,0,1,136593,17,136593.0,4020.0,67',0,0,-1,,,,2025-05-25 04:51:56
13371,735806,3067,away,1,3-4-3,1,0,10,306433,Walid Ould-Chikh,Substitute,0,1,364592,44,364592.0,5100.0,85',0,0,-1,,,,2025-05-25 04:51:56
13371,735806,3067,away,1,3-4-3,1,0,29,306495,Richmond Tachie,Substitute,0,1,291849,9,291849.0,5100.0,85',0,0,-1,,,,2025-05-25 04:51:56
13371,735806,3067,away,1,3-4-3,1,0,22,343950,Fabio Di-Michele-Sanchez,Substitute,0,1,288371,32,288371.0,3780.0,63',0,0,-1,,,,2025-05-25 04:51:56
13371,735807,3067,home,0,3-4-2-1,1,1,1,259128,Ron-Thorben Hofmann,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,18,306060,Marvin Rittmüller,Right Midfielder,2,0,0,-1,,,,1,189552,7,189552.0,4560.0,76',2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,32,288371,Christian Conteh,Left Midfielder,3,0,0,-1,,,,1,343950,22,343950.0,3660.0,61',2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,27,290759,Sven Kohler,Center Left Defender,4,0,0,-1,,,,1,346632,24,346632.0,5400.0,90',2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,6,153319,Ermin Bicakcic,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,3,271606,Paul Jaeckel,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,39,221432,Robin Krausse,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,20,268127,Lino Tempelmann,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,17,136593,Sebastian Polter,Forward,9,0,0,-1,,,,1,305191,11,305191.0,2700.0,45',2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,44,364592,Johan Gómez,Center Right Forward,10,0,0,-1,,,,1,306495,29,306495.0,4560.0,76',2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,1,9,291849,Rayan Philippe,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,0,12,222161,Marko Johansson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,0,16,304485,Julian Baas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,0,11,305191,Levente Szabo,Substitute,0,1,136593,17,136593.0,2700.0,45',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,0,7,189552,Fabio Kaufmann,Substitute,0,1,306060,18,306060.0,4560.0,76',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,0,10,306433,Walid Ould-Chikh,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,0,29,306495,Richmond Tachie,Substitute,0,1,364592,44,364592.0,4560.0,76',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,0,22,343950,Fabio Di-Michele-Sanchez,Substitute,0,1,288371,32,288371.0,3660.0,61',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,0,24,346632,Sidi Sané,Substitute,0,1,290759,27,290759.0,5400.0,90',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,3067,home,0,3-4-2-1,1,0,4,261318,Jannis Nikolaou,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,13,240485,Phillip Menzel,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,2,388175,Philip Fahrner,Right Midfielder,2,0,0,-1,,,,1,331637,5,331637.0,2700.0,45',2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,7,221559,Calogero Rizzuto,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,27,360185,Joel Bichsel,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,4,231189,Sven Sonnenberg,Center Defender,5,0,0,-1,,,,1,377594,18,377594.0,5880.0,98',2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,17,265930,Dominik Becker,Center Right Defender,6,0,0,-1,,,,1,122430,39,122430.0,3840.0,64',2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,19,231688,Sebastian Vasiliadis,Center Right Midfielder,7,0,0,-1,,,,1,290632,23,290632.0,3840.0,64',2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,6,252194,Patrick Sontheimer,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,29,277660,Florian Krüger,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,11,207104,Maurice Multhaup,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,1,10,222769,Kasim Rabihic,Center Left Forward,11,0,0,-1,,,,1,270265,9,270265.0,3840.0,64',2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,0,39,122430,Patrick Schmidt,Substitute,0,1,265930,17,265930.0,3840.0,64',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,0,16,163112,Bjarne Thoelke,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,0,18,377594,Lasse Wilhelm,Substitute,0,1,231189,4,231189.0,5880.0,98',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,0,5,331637,Elijah Krahn,Substitute,0,1,388175,2,388175.0,2700.0,45',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,0,23,290632,Tim Civeja,Substitute,0,1,231688,19,231688.0,3840.0,64',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,0,9,270265,Kai Brunker,Substitute,0,1,222769,10,222769.0,3840.0,64',0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,0,8,154077,Manuel Zeitz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,0,20,208609,Julian Günther-Schmidt,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
13371,735807,18741,away,1,3-4-2-1,1,0,1,188047,Tim Paterok,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-28 04:49:12
