seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13724,758571,20283,home,0,4-3-3,1,1,12,331640,Brianna Edwards,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,11,303076,Danika Matos,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,14,380542,Ella Buchanan,Left Back,3,0,0,-1,,,,1,414111,13,414111.0,4500.0,75',2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,6,354861,Amy Chessari,Center Midfielder,4,0,0,-1,,,,1,353105,16,353105.0,5100.0,85',2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,4,332313,Poppie Hooks,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,22,353357,Alana Cerne,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,37,393894,Ena Harada,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,17,414112,Allyssa Ng-Saad,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,25,330644,Holly Caspers,Forward,9,0,0,-1,,,,1,414113,24,414113.0,3720.0,62',2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,19,374179,Talia Younis,Right Forward,10,0,0,-1,,,,1,292977,8,292977.0,3720.0,62',2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,1,7,259618,Amy Harrison,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,0,24,414113,Nikkita Fazzari,Substitute,0,1,330644,25,330644.0,3720.0,62',0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,0,13,414111,Alvina Khoshaba,Substitute,0,1,380542,14,380542.0,4500.0,75',0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,0,18,355964,Aimee Hall,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,0,5,393509,Milly Bennett,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,0,16,353105,Anika Stajcic,Substitute,0,1,354861,6,354861.0,5100.0,85',0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20283,home,0,4-3-3,1,0,8,292977,Olivia Price,Substitute,0,1,374179,19,374179.0,3720.0,62',0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,33,353358,Alyssa Dall'Oste,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,6,312527,Tijan Mckenna,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,5,374178,Grace Johnston,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,13,312201,Naomi Thomas-Chinnama,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,29,320397,Onyinyechi Zogg,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,24,300571,Julia Sardo,Center Right Defender,6,0,0,-1,,,,1,374238,2,374238.0,5400.0,90'+2',2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,3,336650,Emma Tovar,Center Right Midfielder,7,0,0,-1,,,,1,397470,27,397470.0,4500.0,75',2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,23,243227,Isobel Dalton,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,10,300524,Susan Phonsongkham,Forward,9,0,0,-1,,,,1,393890,12,393890.0,3420.0,57',2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,9,293935,Gabby Hollar,Center Right Forward,10,0,0,-1,,,,1,374358,19,374358.0,3360.0,56',2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,1,17,262668,Rola Badawiya,Center Left Forward,11,0,0,-1,,,,1,397469,25,397469.0,5400.0,90'+4',2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,0,21,413537,Megan Phillips,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,0,27,397470,Charli Wainwright,Substitute,0,1,336650,3,336650.0,4500.0,75',0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,0,25,397469,Ella Lincoln,Substitute,0,1,262668,17,262668.0,5400.0,90'+4',0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,0,12,393890,Bronte Trew,Substitute,0,1,300524,10,300524.0,3420.0,57',0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,0,19,374358,Sarah O'Donoghue,Substitute,0,1,293935,9,293935.0,3360.0,56',0,0,-1,,,,2025-11-01 05:15:28
13724,758571,20282,away,1,3-4-3,1,0,2,374238,Mischa Anderson,Substitute,0,1,300571,24,300571.0,5400.0,90'+2',0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,30,382770,Tiahna Robertson,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,4,312202,Tori Tumeth,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,5,330645,Kirsty Fenton,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,21,312222,Sarah Hunter,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,2,326351,Madison Ayson,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,16,413526,Willa Pearson,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,15,300579,Mackenzie Hawkesby,Right Midfielder,7,0,0,-1,,,,1,402846,11,402846.0,5160.0,86',2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,1,32,312234,Bianca Galic,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,1,18,393499,Amber Luchtmeijer,Forward,9,0,0,-1,,,,1,225749,9,225749.0,3480.0,58',2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,1,7,393508,Amelia Cassar,Right Forward,10,0,0,-1,,,,1,377839,26,377839.0,4380.0,73',2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,1,13,359687,Riley Tanner,Left Forward,11,0,0,-1,,,,1,380543,24,380543.0,3480.0,58',2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,0,24,380543,Caley Tallon-Henniker,Substitute,0,1,359687,13,359687.0,3480.0,58',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,0,26,377839,Madeleine Caspers,Substitute,0,1,393508,7,393508.0,4380.0,73',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,0,22,414127,Alyssa Rose,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,0,9,225749,Jodi Ulkekul,Substitute,0,1,393499,18,393499.0,3480.0,58',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20285,home,0,4-3-3,1,0,1,292438,Heather Hinz,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20285,home,0,4-3-3,1,0,11,402846,Laurie-Ann Moïse,Substitute,0,1,300579,15,300579.0,5160.0,86',0,0,-1,,,,2025-11-02 05:15:08
13724,758572,20280,away,0,4-4-2,1,1,24,333498,Malena Mieres,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,8,331962,Alexia Apostolakis,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,3,312484,Danielle Turner,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-11-01 05:15:28
13724,758572,20280,away,0,4-4-2,1,1,18,300750,Leah Davidson,Center Right Midfielder,4,0,0,-1,,,,1,284185,15,284185.0,4020.0,67',2025-11-02 05:15:08
