seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13328,735615,247,home,0,4-2-3-1,1,0,38,387370,Luis Cameron,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,247,home,0,4-2-3-1,1,0,39,397555,Matthew Falconer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,247,home,0,4-2-3-1,1,0,40,401555,Nick Lockhart,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,247,home,0,4-2-3-1,1,0,12,287198,Lewis Budinauckas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,61,338401,Joshua Clarke,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,22,386193,Mark McKenzie,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,3,243666,Patrick Reading,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,33,179636,Scott McMann,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,26,347287,Lenny Agbaire,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,2,290419,Nicholas Mcallister,Center Right Defender,6,0,0,-1,,,,1,355165,32,355165.0,600.0,10',2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,8,277558,Ben Dempsey,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,23,294282,Marco Rus,Center Left Midfielder,8,0,0,-1,,,,1,283947,21,283947.0,4260.0,71',2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,9,200853,George Oakley,Forward,9,0,0,-1,,,,1,119083,30,119083.0,4620.0,77',2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,10,235689,Connor Mclennan,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,1,15,98298,Jamie Murphy,Center Left Forward,11,0,0,-1,,,,1,282119,17,282119.0,4560.0,76',2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,0,21,283947,Ethan Walker,Substitute,0,1,294282,23,294282.0,4260.0,71',0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,0,17,282119,Jay Henderson,Substitute,0,1,98298,15,98298.0,4560.0,76',0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,0,16,239261,Jake Hastie,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,0,1,207441,Robbie Mutch,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,0,32,355165,Dylan Watret,Substitute,0,1,290419,2,290419.0,600.0,10',0,0,-1,,,,2025-05-07 04:53:55
13328,735615,248,away,1,3-4-3,1,0,30,119083,Curtis Main,Substitute,0,1,200853,9,200853.0,4620.0,77',0,0,-1,,,,2025-05-07 04:53:55
13328,735616,248,home,0,3-4-2-1,1,1,61,338401,Joshua Clarke,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,22,386193,Mark McKenzie,Right Midfielder,2,0,0,-1,,,,1,119083,30,119083.0,3360.0,56',2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,3,243666,Patrick Reading,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,33,179636,Scott McMann,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,26,347287,Lenny Agbaire,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,32,355165,Dylan Watret,Center Right Defender,6,0,0,-1,,,,1,283947,21,283947.0,5400.0,90',2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,8,277558,Ben Dempsey,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,23,294282,Marco Rus,Center Left Midfielder,8,0,0,-1,,,,1,282119,17,282119.0,3360.0,56',2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,9,200853,George Oakley,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,10,235689,Connor Mclennan,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,1,15,98298,Jamie Murphy,Center Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,0,30,119083,Curtis Main,Substitute,0,1,386193,22,386193.0,3360.0,56',0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,0,1,207441,Robbie Mutch,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,0,16,239261,Jake Hastie,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,0,17,282119,Jay Henderson,Substitute,0,1,294282,23,294282.0,3360.0,56',0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,0,21,283947,Ethan Walker,Substitute,0,1,355165,32,355165.0,5400.0,90',0,0,-1,,,,2025-05-10 04:55:27
13328,735616,248,home,0,3-4-2-1,1,0,36,291484,Cole McKinnon,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,1,127116,David Mitchell,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,6,227015,Kyle Turner,Right Midfielder,2,0,0,-1,,,,1,345204,29,345204.0,2400.0,40',2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,43,403388,Jamie Low,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,19,378790,Luke Mcbeth,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,23,5938,Lee Ashcroft,Center Defender,5,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,30,347065,K. Megwa,Center Right Defender,6,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,14,163038,Robbie Crawford,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,26,325958,Ben Stanway,Center Left Midfielder,8,0,0,-1,,,,1,201169,15,201169.0,4980.0,83',2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,9,77907,Brian Graham,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,21,260595,Aidan Fitzpatrick,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,1,8,139761,Stuart Bannigan,Attacking Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,0,42,403387,Liam Dolan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,0,40,401555,Nick Lockhart,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,0,39,397555,Matthew Falconer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,0,38,387370,Luis Cameron,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,0,29,345204,Zander Mackenzie,Substitute,0,1,227015,6,227015.0,2400.0,40',0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,0,12,287198,Lewis Budinauckas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,0,15,201169,Alex Jakubiak,Substitute,0,1,325958,26,325958.0,4980.0,83',0,0,-1,,,,2025-05-10 04:55:27
13328,735616,247,away,1,3-5-2,1,0,11,145139,Steven Lawless,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-10 04:55:27
13327,735617,247,home,0,3-4-1-2,1,1,1,127116,David Mitchell,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,30,347065,K. Megwa,Right Midfielder,2,0,0,-1,,,,0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,43,403388,Jamie Low,Left Midfielder,3,0,0,-1,,,,0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,20,172746,Daniel O'Reilly,Center Left Defender,4,0,0,-1,,,,0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,23,5938,Lee Ashcroft,Center Defender,5,0,0,-1,,,,1,345204,29,345204.0,5280.0,88',2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,19,378790,Luke Mcbeth,Center Right Defender,6,0,0,-1,,,,1,201169,15,201169.0,2700.0,45',2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,14,163038,Robbie Crawford,Center Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,8,139761,Stuart Bannigan,Center Left Midfielder,8,0,0,-1,,,,1,325958,26,325958.0,3960.0,66',2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,10,259952,Logan Chalmers,Attacking Midfielder,9,0,0,-1,,,,0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,9,77907,Brian Graham,Center Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,1,21,260595,Aidan Fitzpatrick,Center Left Forward,11,0,0,-1,,,,1,145139,11,145139.0,3900.0,65',2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,0,12,287198,Lewis Budinauckas,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,0,26,325958,Ben Stanway,Substitute,0,1,139761,8,139761.0,3960.0,66',0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,0,29,345204,Zander Mackenzie,Substitute,0,1,5938,23,5938.0,5280.0,88',0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,0,15,201169,Alex Jakubiak,Substitute,0,1,378790,19,378790.0,2700.0,45',0,0,-1,,,,2025-05-14 04:51:09
13327,735617,247,home,0,3-4-1-2,1,0,39,397555,Matthew Falconer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-05-14 04:51:09
