seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13370,735796,0,-1,,Lineups are announced and players are warming up.,2025-06-01 04:59:56
13370,735796,1,45342981,,First Half begins.,2025-06-01 04:59:56
13370,735796,2,45342990,2',Foul by Alan Cervantes (Club América).,2025-06-01 04:59:56
13370,735796,3,45342990,2',Timothy Tillman (Los Angeles Football Club) wins a free kick in the defensive half.,2025-06-01 04:59:56
13370,735796,4,45343000,3',Foul by Álex Zendejas (Club América).,2025-06-01 04:59:56
13370,735796,5,45343000,3',Timothy Tillman (Los Angeles Football Club) wins a free kick in the attacking half.,2025-06-01 04:59:56
13370,735796,6,45343092,17',Foul by Álex Zendejas (Club América).,2025-06-01 04:59:56
13370,735796,7,45343092,17',Timothy Tillman (Los Angeles Football Club) wins a free kick in the defensive half.,2025-06-01 04:59:56
13370,735796,8,45343095,18',Attempt missed. Dénis Bouanga (Los Angeles Football Club) right footed shot from outside the box is too high. Assisted by Aaron Long.,2025-06-01 04:59:56
13370,735796,9,45343096,18',Foul by Sebastián Cáceres (Club América).,2025-06-01 04:59:56
13370,735796,10,45343096,18',Mark Delgado (Los Angeles Football Club) wins a free kick in the attacking half.,2025-06-01 04:59:56
13370,735796,11,45343101,18',Sebastián Cáceres (Club América) is shown the yellow card for a bad foul.,2025-06-01 04:59:56
13370,735796,12,-1,19',Delay in match because of an injury Mark Delgado (Los Angeles Football Club).,2025-06-01 04:59:56
13370,735796,13,-1,21',Delay over. They are ready to continue.,2025-06-01 04:59:56
13370,735796,14,45343113,22',"Attempt missed. Nathan Ordaz (Los Angeles Football Club) left footed shot from the centre of the box is close, but misses to the right. Assisted by Aaron Long following a set piece situation.",2025-06-02 04:55:28
13370,735796,15,45343119,24',Attempt saved. Érick Sánchez (Club América) left footed shot from outside the box is saved in the bottom right corner by Hugo Lloris (Los Angeles Football Club). Assisted by Kevin Álvarez.,2025-06-02 04:55:28
13370,735796,16,45343143,27',Attempt saved. Ryan Hollingshead (Los Angeles Football Club) left footed shot from the left side of the box is saved in the bottom left corner by Luis Malagón (Club América). Assisted by Nathan Ordaz.,2025-06-02 04:55:28
13370,735796,17,-1,27',"Corner,Los Angeles Football Club. Conceded by Luis Malagón.",2025-06-01 04:59:56
13370,735796,18,45343146,27',"Corner,Los Angeles Football Club. Conceded by Rodrigo Aguirre.",2025-06-02 04:55:28
13370,735796,19,-1,29',"Corner,Los Angeles Football Club. Conceded by Cristián Borja.",2025-06-01 04:59:56
13370,735796,20,45343179,36',Foul by Sergi Palencia (Los Angeles Football Club).,2025-06-01 04:59:56
13370,735796,21,45343179,36',Álex Zendejas (Club América) wins a free kick in the defensive half.,2025-06-01 04:59:56
13370,735796,22,45343187,38',Attempt blocked. Dénis Bouanga (Los Angeles Football Club) right footed shot from the right side of the box is blocked. Assisted by Timothy Tillman.,2025-06-01 04:59:56
13370,735796,23,45343190,38',"Corner,Los Angeles Football Club. Conceded by Cristián Borja.",2025-06-01 04:59:56
