seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13735,759747,0,-1,,Lineups are announced and players are warming up.,2025-10-29 05:18:30
13735,759747,1,-1,,First Half begins.,2025-10-29 05:18:30
13735,759747,2,46259295,16',Yuya Yoshimura (Rayo Majadahonda) is shown the red card for violent conduct.,2025-10-29 05:18:30
13735,759747,3,46259507,24',"Goal! Rayo Majadahonda 0, Talavera de la Reina 1. Manu Farrando (Talavera de la Reina) right footed shot from the centre of the box to the centre of the goal. Assisted by Gonzalo Di Renzo.",2025-11-05 06:16:11
13735,759747,4,46259774,36',"Goal! Rayo Majadahonda 0, Talavera de la Reina 2. Gonzalo Di Renzo (Talavera de la Reina) right footed shot from the centre of the box to the high centre of the goal. Assisted by Sergio Montero.",2025-10-29 05:18:30
13735,759747,5,-1,45',Fourth official has announced 0 minutes of added time.,2025-10-29 05:18:30
13735,759747,6,46260054,45',"Substitution, Rayo Majadahonda. Alberto Noguera replaces Koke San José.",2025-10-29 05:18:30
13735,759747,7,46260055,45',"Substitution, Rayo Majadahonda. Javi Martín replaces Javi Tejedor.",2025-10-29 05:18:30
13735,759747,8,46259983,45',"Substitution, Rayo Majadahonda. Pol Prats replaces Álex Barba.",2025-10-29 05:18:30
13735,759747,9,-1,45'+4',"First Half ends, Rayo Majadahonda 0, Talavera de la Reina 2.",2025-10-29 05:18:30
13735,759747,10,-1,45',"Second Half begins Rayo Majadahonda 0, Talavera de la Reina 2.",2025-10-29 05:18:30
13735,759747,11,46260813,50',"Goal! Rayo Majadahonda 1, Talavera de la Reina 2. Dani Vidal (Rayo Majadahonda) header from the centre of the box to the high centre of the goal. Assisted by Pol Prats.",2025-10-29 05:18:30
13735,759747,12,46261370,51',Ilies Faure (Rayo Majadahonda) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759747,13,46261011,55',Dani Ramos (Rayo Majadahonda) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759747,14,46261355,61',"Substitution, Talavera de la Reina. Luis Sánchez replaces Edu Gallardo.",2025-10-29 05:18:30
13735,759747,15,46261286,61',"Substitution, Talavera de la Reina. Sergi Molina replaces Álvaro López.",2025-10-29 05:18:30
13735,759747,16,46261405,64',Dani Vidal (Rayo Majadahonda) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759747,17,46261495,66',"Goal! Rayo Majadahonda 1, Talavera de la Reina 3. Gonzalo Di Renzo (Talavera de la Reina) header from the centre of the box to the centre of the goal. Assisted by Manu Farrando.",2025-10-29 05:18:30
13735,759747,18,46261541,67',"Substitution, Rayo Majadahonda. Iñigo Ramos replaces Dani Plomer.",2025-10-29 05:18:30
13735,759747,19,46261714,72',"Substitution, Rayo Majadahonda. Antonio Amaro replaces Dani Vidal.",2025-10-29 05:18:30
13735,759747,20,46261854,75',Sergio Montero (Talavera de la Reina) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759747,21,46261922,77',"Substitution, Talavera de la Reina. Marcos Moreno replaces Gonzalo Di Renzo.",2025-10-29 05:18:30
13735,759747,22,46262054,81',"Goal! Rayo Majadahonda 1, Talavera de la Reina 4. Marcos Moreno (Talavera de la Reina) right footed shot from the centre of the box to the centre of the goal. Assisted by Nahuel Arroyo.",2025-10-29 05:18:30
13735,759747,23,46262110,83',"Substitution, Talavera de la Reina. Iván Ayllón replaces Pedro Capó.",2025-10-29 05:18:30
13735,759747,24,-1,90',Fourth official has announced 3 minutes of added time.,2025-10-29 05:18:30
13735,759747,25,-1,90'+3',"Second Half ends, Rayo Majadahonda 1, Talavera de la Reina 4.",2025-10-29 05:18:30
13735,759747,26,-1,,"Match ends, Rayo Majadahonda 1, Talavera de la Reina 4.",2025-10-29 05:18:30
13735,759748,0,-1,,Lineups are announced and players are warming up.,2025-10-30 05:17:57
13735,759748,1,-1,,First Half begins.,2025-10-30 05:17:57
13735,759748,2,46269621,26',"Goal! Navalcarnero 1, Mérida AD 0. Iker Perera (Navalcarnero) left footed shot from the centre of the box to the centre of the goal.",2025-11-02 05:18:08
13735,759748,3,46269764,34',"Goal! Navalcarnero 1, Mérida AD 1. Álvaro García (Mérida AD) right footed shot from the centre of the box to the centre of the goal. Assisted by Manu Rivas.",2025-10-30 05:17:57
13735,759748,4,-1,45',Fourth official has announced 2 minutes of added time.,2025-10-30 05:17:57
13735,759748,5,-1,45'+3',"First Half ends, Navalcarnero 1, Mérida AD 1.",2025-10-30 05:17:57
13735,759748,6,-1,45',"Second Half begins Navalcarnero 1, Mérida AD 1.",2025-10-30 05:17:57
13735,759748,7,46270822,49',"Substitution, Navalcarnero. Ángel Auñón replaces Miguel García.",2025-10-30 05:17:57
13735,759748,8,46271063,55',"Goal! Navalcarnero 2, Mérida AD 1. Alejandro Altube (Navalcarnero) header from more than 35 yards to the centre of the goal. Assisted by Ángel Auñón.",2025-10-30 05:17:57
13735,759748,9,46271101,58',"Substitution, Navalcarnero. Denis Corceovei replaces Alejandro Altube.",2025-10-30 05:17:57
13735,759748,10,46271183,58',"Substitution, Navalcarnero. Juanmi Heredero replaces Rober.",2025-10-30 05:17:57
13735,759748,11,46271410,65',"Substitution, Mérida AD. Benny Dibrani replaces Manu Rivas.",2025-10-30 05:17:57
13735,759748,12,46271477,65',"Substitution, Mérida AD. Miguel Capitas replaces Raúl Beneit.",2025-10-30 05:17:57
13735,759748,13,46271653,69',"Substitution, Mérida AD. Chiqui replaces Álvaro García.",2025-10-30 05:17:57
13735,759748,14,46271741,71',Martín Solar (Mérida AD) is shown the yellow card for a bad foul.,2025-10-30 05:17:57
13735,759748,15,46272130,78',"Substitution, Navalcarnero. João Gil Dias replaces Mario Jiménez.",2025-10-30 05:17:57
13735,759748,16,46272101,78',"Substitution, Navalcarnero. Peque replaces Iker Perera.",2025-10-30 05:17:57
13735,759748,17,46272242,84',"Substitution, Mérida AD. Carlos Doncel replaces Martín Solar.",2025-10-30 05:17:57
13735,759748,18,46272276,84',"Substitution, Mérida AD. Javier Areso replaces Jacobo Martí.",2025-10-30 05:17:57
13735,759748,19,-1,90',Fourth official has announced 6 minutes of added time.,2025-10-30 05:17:57
13735,759748,20,46272486,90'+1',Denis Corceovei (Navalcarnero) is shown the yellow card for a bad foul.,2025-10-30 05:17:57
13735,759748,21,46272523,90'+1',Javier Areso (Mérida AD) is shown the yellow card for a bad foul.,2025-10-30 05:17:57
13735,759748,22,46272586,90'+4',Javi Domínguez (Mérida AD) is shown the yellow card for a bad foul.,2025-10-30 05:17:57
13735,759748,23,-1,90'+7',"Second Half ends, Navalcarnero 2, Mérida AD 1.",2025-10-30 05:17:57
13735,759748,24,-1,,"Match ends, Navalcarnero 2, Mérida AD 1.",2025-10-30 05:17:57
13735,759749,0,-1,,Lineups are announced and players are warming up.,2025-10-29 05:18:30
13735,759749,1,-1,,First Half begins.,2025-10-29 05:18:30
13735,759749,2,46260972,42',"Goal! Alcalá 0, Tenerife 1. Fran Sabina (Tenerife) header from the centre of the box to the centre of the goal. Assisted by Dani Fernández.",2025-10-29 05:18:30
13735,759749,3,46261071,45'+1',Juanjo Sánchez (Tenerife) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759749,4,-1,45'+2',"First Half ends, Alcalá 0, Tenerife 1.",2025-10-29 05:18:30
13735,759749,5,-1,45'+2',Fourth official has announced 1 minutes of added time.,2025-10-29 05:18:30
13735,759749,6,-1,45',"Second Half begins Alcalá 0, Tenerife 1.",2025-10-29 05:18:30
13735,759749,7,46262036,53',Cheki (Alcalá) is shown the yellow card for a bad foul.,2025-10-29 05:18:30
13735,759749,8,46262131,56',"Goal! Alcalá 0, Tenerife 2. Maikel Mesa (Tenerife) right footed shot from the centre of the box to the centre of the goal. Assisted by Noel López.",2025-10-29 05:18:30
13735,759749,9,46262248,58',"Substitution, Alcalá. Edu Viaña replaces Marco López.",2025-10-29 05:18:30
