seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12826,715922,0,43596175,13',Awn Al-Saluli (Al Taawoun) Substitution at 13',2024-08-23 05:36:54
12826,715922,1,43596179,28',Mukhir Al Rashidi (Al Fayha) Yellow Card at 28',2024-08-23 05:36:54
12826,715922,2,43596190,45',Abdi Faris (Al Fayha) Yellow Card at 45',2024-08-23 05:36:54
12826,715922,3,43596230,45',Abdulfattah Adam (Al Taawoun) Substitution at 45',2024-08-23 05:36:54
12826,715922,4,43596267,59',Sultan Mandash (Al Taawoun) Substitution at 59',2024-08-23 05:36:54
12826,715922,5,43596268,59',Ibrahim Alshuayl (Al Taawoun) Substitution at 59',2024-08-23 05:36:54
12826,715922,6,43596298,66',Mohammed Al Dowaish (Al Fayha) Yellow Card at 66',2024-08-23 05:36:54
12826,715922,7,43596353,81',Ibrahim Alshuayl (Al Taawoun) Red Card at 81',2024-08-23 05:36:54
12826,715922,8,43596354,82',Abdulhadi Al-Harajin (Al Fayha) Substitution at 82',2024-08-23 05:36:54
12826,715922,9,43596355,82',Faycal Fajr (Al Taawoun) Substitution at 82',2024-08-23 05:36:54
12826,715922,10,43596364,89',Redha Alabdullah (Al Fayha) Substitution at 89',2024-08-23 05:36:54
12826,715922,11,43596380,90'+5',Abdulfattah Adam (Al Taawoun) Goal at 95',2024-08-23 05:36:54
12826,715922,12,43596395,90'+6',Abdulfattah Adam (Al Taawoun) Yellow Card at 96',2024-08-23 05:36:54
12826,715923,0,43596555,40',Craig Goodwin (Al Wehda) Goal at 40',2024-08-23 05:36:54
12826,715923,1,43596724,45',Bernard Mensah (Al Riyadh) Substitution at 45',2024-08-23 05:36:54
12826,715923,2,43596777,51',Bernard Mensah (Al Riyadh) Goal at 51',2024-08-23 05:36:54
12826,715923,3,43596833,59',Hussain Ali Alnwaiqi (Al Riyadh) Red Card at 59',2024-08-23 05:36:54
12826,715923,4,43596853,62',Craig Goodwin (Al Wehda) Goal at 62',2024-08-23 05:36:54
12826,715923,5,43596894,66',Vito van Crooij (Al Wehda) Substitution at 66',2024-08-23 05:36:54
12826,715923,6,43596895,66',Abdulaziz Noor (Al Wehda) Substitution at 66',2024-08-23 05:36:54
12826,715923,7,43596942,71',Tozé (Al Riyadh) Yellow Card at 71',2024-08-23 05:36:54
12826,715923,8,43596957,72',Yazeed Al Bakr (Al Riyadh) Substitution at 72',2024-08-23 05:36:54
12826,715923,9,43596958,73',Mohammed Al Aqel (Al Riyadh) Substitution at 73',2024-08-23 05:36:54
12826,715923,10,43596988,74',Murad Khadari (Al Wehda) Substitution at 74',2024-08-27 05:40:14
12826,715923,11,43597020,79',Mohammed Al Aqel (Al Riyadh) Yellow Card at 79',2024-08-23 05:36:54
12826,715923,12,43597043,83',Abdullah Al Hafith (Al Wehda) Yellow Card at 83',2024-08-23 05:36:54
12826,715923,13,43597078,85',Ibrahim Bayesh (Al Riyadh) Goal at 85',2024-08-23 05:36:54
12826,715923,14,43597115,90',Hussain Ahmed Al Issa (Al Wehda) Substitution at 90',2024-08-23 05:36:54
12826,715923,15,43597148,90'+4',Murad Khadari (Al Wehda) Goal at 94',2024-08-27 05:40:14
12826,715923,16,43597168,90'+7',Lucas Kal (Al Riyadh) Goal at 97',2024-08-23 05:36:54
12826,715923,17,43597207,90'+12',Rayan Al Bloushi (Al Riyadh) Substitution at 102',2024-08-23 05:36:54
12826,715923,18,43597230,90'+13',Abdulaziz Noor (Al Wehda) Yellow Card at 103',2024-08-23 05:36:54
12826,715924,0,43596414,16',Mubarak Abdul Rahman Al Rajeh (Al Raed) Yellow Card at 16',2024-08-23 05:36:54
12826,715924,1,43596434,20',Khalid Mohammed Al Subaie (Al Raed) Yellow Card at 20',2024-08-23 05:36:54
12826,715924,2,43596466,27',Mohammad Al-Dawsari (Al Raed) Yellow Card at 27',2024-08-23 05:36:54
12826,715924,3,43596509,34',Cristiano Ronaldo (Al Nassr) Goal at 34',2024-08-23 05:36:54
12826,715924,4,43596653,45'+6',Marcelo Brozovic (Al Nassr) Yellow Card at 51',2024-08-23 05:36:54
12826,715924,5,43596766,48',Aymeric Laporte (Al Nassr) Yellow Card at 48',2024-08-23 05:36:54
12826,715924,6,43596767,49',Mohammed Fouzair (Al Raed) Penalty - Scored at 49',2024-08-23 05:36:54
12826,715924,7,43596824,56',Oumar Gonzalez (Al Raed) Yellow Card at 56',2024-08-23 05:36:54
12826,715924,8,43596938,68',Sami Al-Najei (Al Nassr) Substitution at 68',2024-08-23 05:36:54
12826,715924,9,43597061,83',Abdulrahman Ghareeb (Al Nassr) Substitution at 83',2024-08-23 05:36:54
12826,715924,10,43597062,83',Mukhtar Ali (Al Nassr) Substitution at 83',2024-08-23 05:36:54
12826,715924,11,43597133,90'+1',Nawaf Sahli (Al Raed) Substitution at 91',2024-08-23 05:36:54
12826,715924,12,43597151,90'+3',Sultan Al-Ghannam (Al Nassr) Yellow Card at 93',2024-08-23 05:36:54
12826,715924,13,43597196,90'+8',Rakan Al Dosari (Al Raed) Substitution at 98',2024-08-23 05:36:54
12826,715924,14,43597197,90'+9',Nawaf Sahli (Al Raed) Yellow Card at 99',2024-08-23 05:36:54
12826,715924,15,43597244,90'+12',Bander Whaeshi (Al Raed) Substitution at 102',2024-08-23 05:36:54
12826,715925,0,43599643,16',Dhari Al Anazi (Damac) Own Goal at 16',2024-08-24 05:39:57
12826,715925,1,43599644,20',Georges-Kévin N'Koudou (Damac) Yellow Card at 20',2024-08-24 05:39:57
12826,715925,2,43599736,58',Abdullah Al-Salim (Al Khaleej) Substitution at 58',2024-08-24 05:39:57
12826,715925,3,43599742,63',Ahmed Harisi (Damac) Substitution at 63',2024-08-24 05:39:57
12826,715925,4,43599743,64',François Kamano (Damac) Substitution at 64',2024-08-24 05:39:57
12826,715925,5,43599747,66',Saeed Al Hamsal (Al Khaleej) Yellow Card at 66',2024-08-24 05:39:57
12826,715925,6,43599764,70',Hisham Al Dubais (Al Khaleej) Substitution at 70',2024-08-24 05:39:57
12826,715925,7,43599765,71',Murad Al Hawsawi (Al Khaleej) Substitution at 71',2024-08-24 05:39:57
12826,715925,8,43599766,72',Hisham Al Dubais (Al Khaleej) Yellow Card at 72',2024-08-24 05:39:57
12826,715925,9,43599781,77',Dhari Al Anazi (Damac) Yellow Card at 77',2024-08-24 05:39:57
12826,715925,10,43599782,78',Abdullah Almogren (Damac) Substitution at 78',2024-08-24 05:39:57
12826,715925,11,43599795,84',Bandar Al Mutairi (Al Khaleej) Substitution at 84',2024-08-24 05:39:57
12826,715925,12,43599799,88',Abdulrahman Al-Obaid (Damac) Substitution at 88',2024-08-24 05:39:57
12826,715925,13,43599807,90'+3',Ibrahim Sehic (Al Khaleej) Yellow Card at 93',2024-08-24 05:39:57
12826,715926,0,43599901,32',Abdulkarim Darisi (Al Ahli) Goal at 32',2024-08-24 05:39:57
12826,715926,1,43599927,37',Ziyad Aljohani (Al Ahli) Yellow Card at 37',2024-08-24 05:39:57
12826,715926,2,43600199,53',Malik Al Shammary (Al Orobah) Substitution at 53',2024-08-24 05:39:57
12826,715926,3,43600290,60',Karlo Muhar (Al Orobah) Yellow Card at 60',2024-08-24 05:39:57
12826,715926,4,43600357,68',Sattam Al-Roqi (Al Orobah) Substitution at 68',2024-08-24 05:39:57
12826,715926,5,43600418,72',Alexsander (Al Ahli) Substitution at 72',2024-08-24 05:39:57
12826,715926,6,43600419,72',Sumaihan Al-Nabet (Al Ahli) Substitution at 72',2024-08-24 05:39:57
12826,715926,7,43600420,72',Fahad Alrashidi (Al Ahli) Substitution at 72',2024-08-24 05:39:57
12826,715926,8,43600434,72',Saad Yaslam Balobaid (Al Ahli) Substitution at 72',2024-08-24 05:39:57
12826,715926,9,43600458,76',Fahad Zubaidi (Al Orobah) Yellow Card at 76',2024-08-24 05:39:57
12826,715926,10,43600488,80',Roberto Firmino (Al Ahli) Goal at 80',2024-08-24 05:39:57
12826,715926,11,43601179,80',Ibrahim Al-Zubaidi (Al Orobah) Yellow Card at 80',2024-08-24 05:39:57
12826,715926,12,43600556,86',Mohammed Ali Barnawi (Al Orobah) Substitution at 86',2024-08-24 05:39:57
12826,715926,13,43600557,87',Faraj (Al Orobah) Substitution at 87',2024-08-24 05:39:57
12826,715926,14,43600617,90'+4',Fahd Al Hamad (Al Ahli) Substitution at 94',2024-08-25 05:40:01
12826,715927,0,43599904,34',Julián Quiñones (Al Qadsiah) Goal at 34',2024-08-24 05:39:57
12826,715927,1,43600162,49',Julián Quiñones (Al Qadsiah) Yellow Card at 49',2024-08-24 05:39:57
12826,715927,2,43600247,55',Saad Al-Shurafa (Al Fateh) Substitution at 55',2024-08-24 05:39:57
12826,715927,3,43600248,55',Abdullah Safoud Alemzi (Al Fateh) Substitution at 55',2024-08-24 05:39:57
12826,715927,4,43600384,66',Saif Rashad Mohamed (Al Qadsiah) Substitution at 66',2024-08-24 05:39:57
12826,715927,5,43600385,67',Ali Abdullah Hazzazi (Al Qadsiah) Substitution at 67',2024-08-24 05:39:57
12826,715927,6,43600386,67',Mohammed Qassem Al-Nakhli (Al Qadsiah) Substitution at 67',2024-08-24 05:39:57
12826,715927,7,43600413,71',Ahmed Yousef Al Julaydan (Al Fateh) Substitution at 71',2024-08-24 05:39:57
12826,715927,8,43600438,73',Abdulaziz Al Othman (Al Qadsiah) Goal at 73',2024-08-24 05:39:57
12826,715927,9,43600483,77',André Carrillo (Al Qadsiah) Substitution at 77',2024-08-24 05:39:57
12826,715927,10,43600525,81',Muntathir Al Shaqaq (Al Fateh) Substitution at 81',2024-08-24 05:39:57
12826,715927,11,43600526,81',Amar Al Dohaim (Al Fateh) Substitution at 81',2024-08-24 05:39:57
12826,715927,12,43600540,83',Ezequiel Fernández (Al Qadsiah) Yellow Card at 83',2024-08-24 05:39:57
12826,715927,13,43600618,90'+2',Julián Quiñones (Al Qadsiah) Goal at 92',2024-08-24 05:39:57
12826,715927,14,43600642,90'+3',Abdulrahman Al-Dossari (Al Qadsiah) Substitution at 93',2024-08-24 05:39:57
12826,715928,0,43608950,20',Muhannad Al-Shanqiti (Al Ittihad) Substitution at 20',2024-08-25 05:40:01
12826,715928,1,43609716,60',Hassan Kadesh (Al Ittihad) Yellow Card at 60',2024-08-25 05:40:01
12826,715928,2,43609755,61',Hammam Al-Hammami (Al Kholood) Substitution at 61',2024-08-25 05:40:01
12826,715928,3,43609756,61',Abdulrahman Al-Obud (Al Ittihad) Substitution at 61',2024-08-25 05:40:01
12826,715928,4,43609757,61',Jackson Muleka (Al Kholood) Substitution at 61',2024-08-25 05:40:01
12826,715928,5,43609911,73',Aliou Dieng (Al Kholood) Yellow Card at 73',2024-08-25 05:40:01
12826,715928,6,43609912,74',Riad Al Ibrahim (Al Kholood) Substitution at 74',2024-08-25 05:40:01
12826,715928,7,43610010,80',Saleh Al-Shehri (Al Ittihad) Substitution at 80',2024-08-25 05:40:01
12826,715928,8,43610217,90'+4',Houssem Aouar (Al Ittihad) Goal at 94',2024-08-25 05:40:01
12826,715928,9,43610307,90'+5',Jamaan Al-Dosari (Al Kholood) Substitution at 95',2024-08-25 05:40:01
12826,715929,0,43610243,4',Aleksandar Mitrovic (Al Hilal) Goal at 4',2024-08-25 05:40:01
12826,715929,1,43610574,20',Ahmed Ghassan (Al Okhdood) Yellow Card at 20',2024-08-25 05:40:01
12826,715929,2,43610808,30',Eid Al Muwallad (Al Okhdood) Yellow Card at 30',2024-08-25 05:40:01
12826,715929,3,43610958,38',Hussain Al Zabdani (Al Okhdood) Yellow Card at 38',2024-08-26 05:34:12
12826,715929,4,43610967,39',Aleksandar Mitrovic (Al Hilal) Goal at 39',2024-08-25 05:40:01
12826,715929,5,43611076,45'+1',Sergej Milinkovic-Savic (Al Hilal) Goal at 46',2024-08-25 05:40:01
12826,715929,6,43611432,45',Mohammed Al Jahif (Al Okhdood) Substitution at 45',2024-08-25 05:40:01
12826,715929,7,43611433,45',Awad Khamis (Al Okhdood) Substitution at 45',2024-08-25 05:40:01
12826,715929,8,43611818,64',Hamad Altuhayfan (Al Hilal) Substitution at 64',2024-08-25 05:40:01
12826,715929,9,43611819,64',Nasser Al-Dawsari (Al Hilal) Substitution at 64',2024-08-25 05:40:01
12826,715929,10,43611942,71',Mohamed Kanno (Al Hilal) Substitution at 71',2024-08-25 05:40:01
12826,715929,11,43611943,71',Musab Al-Juwayr (Al Hilal) Substitution at 71',2024-08-25 05:40:01
12826,715929,12,43612270,86',Saif Balhareth (Al Okhdood) Substitution at 86',2024-08-25 05:40:01
12826,715929,13,43612319,89',Mohammed Al-Burayk (Al Hilal) Substitution at 89',2024-08-25 05:40:01
12826,715930,0,43611551,58',Vitinho (Al Ettifaq) Yellow Card at 58',2024-08-25 05:40:01
12826,715930,1,43611713,64',Álvaro Medrán (Al Ettifaq) Substitution at 64',2024-08-25 05:40:01
12826,715930,2,43611714,64',Mohammed Yousef (Al Ettifaq) Substitution at 64',2024-08-25 05:40:01
12826,715930,3,43611852,72',Majed Abdullah (Al Shabab) Substitution at 72',2024-08-25 05:40:01
12826,715930,4,43611861,74',Moussa Dembélé (Al Ettifaq) Goal at 74',2024-08-25 05:40:01
12826,715930,5,43611928,77',Meshal Sibyani (Al Ettifaq) Substitution at 77',2024-08-25 05:40:01
12826,715930,6,43611972,78',Abdulelah Al-Malki (Al Ettifaq) Substitution at 78',2024-08-25 05:40:01
12826,715930,7,43612114,85',Nawaf Al Ghulaimish (Al Shabab) Substitution at 85',2024-08-25 05:40:01
12826,715930,8,43612157,87',Thamer Al Khaibri (Al Ettifaq) Substitution at 87',2024-08-25 05:40:01
12826,715930,9,43612234,90',Hamad Al-Khorayef (Al Shabab) Substitution at 90',2024-08-25 05:40:01
12826,715930,10,43631788,90',Marek Rodák (Al Ettifaq) Yellow Card at 90',2024-08-27 05:40:14
12826,715931,0,43634727,20',Merih Demiral (Al Ahli) Yellow Card at 20',2024-08-29 05:45:04
12826,715931,1,43634729,26',Saeed Baattia (Al Fateh) Yellow Card at 26',2024-08-29 05:45:04
12826,715931,2,43634730,45',Mourad Batna (Al Fateh) Substitution at 45',2024-08-29 05:45:04
12826,715931,3,43634731,49',Ali Majrashi (Al Ahli) Yellow Card at 49',2024-08-29 05:45:04
12826,715931,4,43634732,54',Djaniny (Al Fateh) Goal at 54',2024-08-29 05:45:04
12826,715931,5,43634742,62',Alexsander (Al Ahli) Substitution at 62',2024-08-29 05:45:04
12826,715931,6,43634743,62',Sumaihan Al-Nabet (Al Ahli) Substitution at 62',2024-08-29 05:45:04
12826,715931,7,43634744,63',Suhayb Alzaid (Al Fateh) Substitution at 63',2024-08-29 05:45:04
12826,715931,8,43634766,70',Saad Al-Shurafa (Al Fateh) Substitution at 70',2024-08-29 05:45:04
12826,715931,9,43634767,70',Alfehaid Salah (Al Fateh) Substitution at 70',2024-08-29 05:45:04
12826,715931,10,43634772,74',Feras Al-Brikan (Al Ahli) Substitution at 74',2024-08-29 05:45:04
12826,715931,11,43634796,86',Amar Al Dohaim (Al Fateh) Substitution at 86',2024-08-29 05:45:04
12826,715931,12,43634797,86',Haitham Asiri (Al Ahli) Substitution at 86',2024-08-29 05:45:04
12826,715932,0,43634853,5',Anderson Talisca (Al Nassr) Goal at 5',2024-08-29 05:45:04
12826,715932,1,43634889,18',Rakan Kaabi (Al Fayha) Yellow Card at 18',2024-08-29 05:45:04
12826,715932,2,43634939,30',Ali Al Hussain (Al Fayha) Yellow Card at 30',2024-08-29 05:45:04
12826,715932,3,43635292,45'+10',Cristiano Ronaldo (Al Nassr) Goal at 55',2024-08-29 05:45:04
12826,715932,4,43636568,58',Abdullah Al-Khaibari (Al Nassr) Substitution at 58',2024-08-29 05:45:04
12826,715932,5,43636709,62',Alejandro Pozuelo (Al Fayha) Substitution at 62',2024-08-29 05:45:04
12826,715932,6,43636931,69',Abdulmajeed Al-Sulaiheem (Al Nassr) Substitution at 69',2024-08-29 05:45:04
12826,715932,7,43637272,85',Marcelo Brozovic (Al Nassr) Goal at 85',2024-08-29 05:45:04
12826,715932,8,43637313,86',Fashion Sakala (Al Fayha) Goal at 86',2024-08-29 05:45:04
12826,715932,9,43637478,89',Redha Alabdullah (Al Fayha) Substitution at 89',2024-08-29 05:45:04
12826,715932,10,43637479,89',Mohammed Al-Fatil (Al Nassr) Substitution at 89',2024-08-29 05:45:04
12826,715932,11,43637480,89',Mukhtar Ali (Al Nassr) Substitution at 89',2024-08-29 05:45:04
12826,715932,12,43637481,89',Abdulhadi Al-Harajin (Al Fayha) Substitution at 89',2024-08-29 05:45:04
12826,715932,13,43637619,90'+5',Anderson Talisca (Al Nassr) Goal at 95',2024-08-29 05:45:04
12826,715933,0,43635031,45'+1',Gastón Álvarez (Al Qadsiah) Yellow Card at 46',2024-08-29 05:45:04
12826,715933,1,43635085,45'+3',Mathias Normann (Al Raed) Yellow Card at 48',2024-08-29 05:45:04
12826,715933,2,43635666,45',Cameron Puertas (Al Qadsiah) Substitution at 45',2024-08-29 05:45:04
12826,715933,3,43635667,45',Mohammed Qassem Al-Nakhli (Al Qadsiah) Substitution at 45',2024-08-29 05:45:04
12826,715933,4,43636250,59',Mohammed Qassem Al-Nakhli (Al Qadsiah) Yellow Card at 59',2024-08-29 05:45:04
12826,715933,5,43636621,68',Turki Al-Ammar (Al Qadsiah) Substitution at 68',2024-08-29 05:45:04
12826,715933,6,43636734,71',Mohammed Fouzair (Al Raed) Yellow Card at 71',2024-08-29 05:45:04
12826,715933,7,43636960,79',Turki Al-Ammar (Al Qadsiah) Goal at 79',2024-08-29 05:45:04
12826,715933,8,43637035,84',Rakan Al Dosari (Al Raed) Substitution at 84',2024-08-29 05:45:04
12826,715933,9,43637127,88',Qassem Lajami (Al Qadsiah) Substitution at 88',2024-08-29 05:45:04
12826,715933,10,43637128,88',Raid Al-Ghamdi (Al Raed) Substitution at 88',2024-08-29 05:45:04
12826,715933,11,43637317,90'+3',Hussain Al Nattar (Al Qadsiah) Substitution at 93',2024-08-29 05:45:04
12826,715933,12,43639768,90'+7',Saleh Al-Jamaan (Al Raed) Yellow Card at 97',2024-08-29 05:45:04
12826,715934,0,43640589,18',Naif Asiri (Al Okhdood) Yellow Card at 18',2024-08-29 05:45:04
12826,715934,1,43640738,59',Demarai Gray (Al Ettifaq) Substitution at 59',2024-08-29 05:45:04
12826,715934,2,43640739,59',Mohammed Yousef (Al Ettifaq) Substitution at 59',2024-08-29 05:45:04
12826,715934,3,43640757,63',Moussa Dembélé (Al Ettifaq) Goal at 63',2024-08-29 05:45:04
12826,715934,4,43640801,68',Abdulelah Al-Malki (Al Ettifaq) Substitution at 68',2024-08-29 05:45:04
12826,715934,5,43640882,77',Ahmed Ghassan (Al Okhdood) Substitution at 77',2024-08-29 05:45:04
12826,715934,6,43640883,78',Knowledge Musona (Al Okhdood) Substitution at 78',2024-08-29 05:45:04
12826,715934,7,43640948,86',Meshal Sibyani (Al Ettifaq) Substitution at 86',2024-08-29 05:45:04
12826,715934,8,43640949,86',Thamer Al Khaibri (Al Ettifaq) Substitution at 86',2024-08-29 05:45:04
12826,715935,0,43641320,38',Nicolae Stanciu (Damac) Yellow Card at 38',2024-08-29 05:45:04
12826,715935,1,43641442,45'+5',Aleksandar Mitrovic (Al Hilal) Goal at 50',2024-08-29 05:45:04
12826,715935,2,43641811,49',François Kamano (Damac) Goal at 49',2024-08-29 05:45:04
12826,715935,3,43641895,53',Habib Diallo (Damac) Goal at 53',2024-08-29 05:45:04
12826,715935,4,43641980,58',Ramzi Solan (Damac) Yellow Card at 58',2024-08-29 05:45:04
12826,715935,5,43642035,61',Musab Al-Juwayr (Al Hilal) Substitution at 61',2024-08-29 05:45:04
12826,715935,6,43642036,61',Yasser Al-Shahrani (Al Hilal) Substitution at 61',2024-08-29 05:45:04
12826,715935,7,43642069,63',Rúben Neves (Al Hilal) Yellow Card at 63',2024-08-29 05:45:04
12826,715935,8,43642156,68',Bader Munshi (Damac) Substitution at 68',2024-08-29 05:45:04
12826,715935,9,43642201,73',Musab Al-Juwayr (Al Hilal) Goal at 73',2024-08-29 05:45:04
12826,715935,10,43642269,76',Dhari Al Anazi (Damac) Yellow Card at 76',2024-08-29 05:45:04
12826,715935,11,43642422,83',Hazzaa Al Ghamdi (Damac) Substitution at 83',2024-08-29 05:45:04
12826,715935,12,43642423,83',Ahmed Harisi (Damac) Substitution at 83',2024-08-29 05:45:04
12826,715935,13,43642424,83',Abdulrahman Al-Obaid (Damac) Substitution at 83',2024-08-29 05:45:04
12826,715935,14,43642425,84',Aleksandar Mitrovic (Al Hilal) Goal at 84',2024-08-29 05:45:04
12826,715935,15,43642555,86',Renan Lodi (Al Hilal) Yellow Card at 86',2024-08-29 05:45:04
12826,715935,16,43642556,90'+2',Mohammed Al-Burayk (Al Hilal) Substitution at 92',2024-08-29 05:45:04
12826,715935,17,43642557,90'+2',Nasser Al-Dawsari (Al Hilal) Substitution at 92',2024-08-29 05:45:04
12826,715935,18,43642705,90'+9',Abdullah Almogren (Damac) Substitution at 99',2024-08-29 05:45:04
12826,715935,19,43642706,90'+10',Hassan Al-Tambakti (Al Hilal) Substitution at 100',2024-08-29 05:45:04
12826,715936,0,43641110,1',Odion Ighalo (Al Wehda) Goal at 1',2024-08-30 05:42:29
12826,715936,1,43641174,16',Yahya Naji (Al Wehda) Substitution at 16',2024-08-30 05:42:29
12826,715936,2,43641283,33',Zeyad Al-Hunayti (Al Orobah) Goal at 33',2024-08-30 05:42:29
12826,715936,3,43641309,37',Yahya Naji (Al Wehda) Yellow Card at 37',2024-08-30 05:42:29
12826,715936,4,43641716,45',Ahmad Bandar Derwish (Al Wehda) Substitution at 45',2024-08-30 05:42:29
12826,715936,5,43641903,57',Alexandru Cretu (Al Wehda) Substitution at 57',2024-08-30 05:42:29
12826,715936,6,43641904,57',Juninho Bacuna (Al Wehda) Substitution at 57',2024-08-30 05:42:29
12826,715936,7,43641905,57',Murad Khadari (Al Wehda) Substitution at 57',2024-08-30 05:42:29
12826,715936,8,43642229,75',Cristian Tello (Al Orobah) Substitution at 75',2024-08-30 05:42:29
12826,715936,9,43642230,75',Mohammed Al Qarni (Al Orobah) Substitution at 75',2024-08-30 05:42:29
12826,715936,10,43642284,75',Abdulmalek Al Shammary (Al Orobah) Substitution at 75',2024-08-30 05:42:29
12826,715936,11,43642341,83',Juninho Bacuna (Al Wehda) Yellow Card at 83',2024-08-30 05:42:29
12826,715936,12,43642432,86',Sattam Al-Roqi (Al Orobah) Substitution at 86',2024-08-30 05:42:29
12826,715936,13,43642495,90',Mohammed Al-Saiari (Al Orobah) Substitution at 90',2024-08-30 05:42:29
12826,715936,14,43642531,90'+3',Murad Khadari (Al Wehda) Goal at 93',2024-08-30 05:42:29
12826,715936,15,43642598,90'+5',Murad Khadari (Al Wehda) Yellow Card at 95',2024-08-30 05:42:29
12826,715937,0,43645383,21',Mohammed Jahfali (Al Kholood) Own Goal at 21',2024-08-30 05:42:29
12826,715937,1,43645384,28',Abdullah Al Hawsawi (Al Kholood) Yellow Card at 28',2024-08-30 05:42:29
12826,715937,2,43645385,30',Yazeed Al Bakr (Al Riyadh) Yellow Card at 30',2024-08-30 05:42:29
12826,715937,3,43645390,45'+4',Suwailem Al Menhali (Al Riyadh) Substitution at 49',2024-08-30 05:42:29
12826,715937,4,43645391,45'+12',Hamdan Al Shamrani (Al Kholood) Yellow Card at 57',2024-08-30 05:42:29
12826,715937,5,43645408,45',Muhammad Sawan (Al Kholood) Substitution at 45',2024-08-30 05:42:29
12826,715937,6,43645409,45',Kevin N'Doram (Al Kholood) Substitution at 45',2024-08-30 05:42:29
12826,715937,7,43645417,50',Álex Collado (Al Kholood) Goal at 50',2024-08-30 05:42:29
12826,715937,8,43645464,66',Yoann Barbet (Al Riyadh) Substitution at 66',2024-08-30 05:42:29
12826,715937,9,43645465,66',Mohammed Al Aqel (Al Riyadh) Substitution at 66',2024-08-30 05:42:29
12826,715937,10,43645482,75',Ibrahim Bayesh (Al Riyadh) Goal at 75',2024-08-30 05:42:29
12826,715937,11,43645512,83',Abdullah Al-Rashidi (Al Kholood) Substitution at 83',2024-08-30 05:42:29
12826,715937,12,43645513,83',Hammam Al-Hammami (Al Kholood) Substitution at 83',2024-08-30 05:42:29
12826,715937,13,43645515,87',Mohamed Al Oqil (Al Riyadh) Substitution at 87',2024-08-30 05:42:29
12826,715937,14,43645524,90'+4',Mohammed Al Aqel (Al Riyadh) Goal at 94',2024-08-30 05:42:29
12826,715938,0,43645616,14',Fawaz Al Saqour (Al Ittihad) Yellow Card at 14',2024-08-30 05:42:29
12826,715938,1,43645701,25',Moussa Diaby (Al Ittihad) Yellow Card at 25',2024-08-30 05:42:29
12826,715938,2,43645788,34',Fahad Bin Jumayah (Al Taawoun) Yellow Card at 34',2024-08-30 05:42:29
12826,715938,3,43646251,59',Musa Barrow (Al Taawoun) Goal at 59',2024-08-30 05:42:29
12826,715938,4,43646316,66',Awn Al-Saluli (Al Taawoun) Yellow Card at 66',2024-08-30 05:42:29
12826,715938,5,43646335,66',Saleh Al-Shehri (Al Ittihad) Substitution at 66',2024-08-30 05:42:29
12826,715938,6,43646336,67',Muath Muath (Al Ittihad) Substitution at 67',2024-08-30 05:42:29
12826,715938,7,43646371,70',Karim Benzema (Al Ittihad) Goal at 70',2024-08-30 05:42:29
12826,715938,8,43646424,73',Fahad Al Abdulrazzaq (Al Taawoun) Substitution at 73',2024-08-30 05:42:29
12826,715938,9,43646523,81',Sultan Mandash (Al Taawoun) Substitution at 81',2024-08-30 05:42:29
12826,715938,10,43646524,81',Abdulfattah Adam (Al Taawoun) Substitution at 81',2024-08-30 05:42:29
12826,715938,11,43646691,90'+2',Abdulaziz Al-Bishi (Al Ittihad) Substitution at 92',2024-08-30 05:42:29
12826,715938,12,43646692,90'+2',Sultan Al Farhan (Al Taawoun) Substitution at 92',2024-08-30 05:42:29
12826,715938,13,43646708,90'+5',Awn Al-Saluli (Al Taawoun) Red Card at 95',2024-08-30 05:42:29
12826,715938,14,43646717,90'+7',Al Mufarrij (Al Taawoun) Yellow Card at 97',2024-08-30 05:42:29
12826,715938,15,43646725,90'+8',Houssem Aouar (Al Ittihad) Penalty - Scored at 98',2024-08-30 05:42:29
12826,715938,16,43646736,90'+9',Houssem Aouar (Al Ittihad) Yellow Card at 99',2024-08-30 05:42:29
12826,715938,17,43646747,90'+9',Aschraf El Mahdioui (Al Taawoun) Yellow Card at 99',2024-08-31 05:42:26
12826,715939,0,43645727,28',Moteb Alharbi (Al Shabab) Yellow Card at 28',2024-08-30 05:42:29
12826,715939,1,43646233,56',Yannick Carrasco (Al Shabab) Yellow Card at 56',2024-08-30 05:42:29
12826,715939,2,43646260,60',Yannick Carrasco (Al Shabab) Goal at 60',2024-08-30 05:42:29
12826,715939,3,43646284,61',Dimitrios Kourbelis (Al Khaleej) Substitution at 61',2024-08-30 05:42:29
12826,715939,4,43646373,69',Abdullah Al-Salim (Al Khaleej) Substitution at 69',2024-08-30 05:42:29
12826,715939,5,43646421,69',Hisham Al Dubais (Al Khaleej) Substitution at 69',2024-08-30 05:42:29
12826,715939,6,43646422,69',Murad Al Hawsawi (Al Khaleej) Substitution at 69',2024-08-30 05:42:29
12826,715939,7,43646612,85',Nawaf Al Saadi (Al Shabab) Substitution at 85',2024-08-30 05:42:29
12826,715939,8,43646685,90'+1',Nader Al Sharari (Al Shabab) Substitution at 91',2024-08-30 05:42:29
12826,715939,9,43646686,90'+1',Arif Al Haydar (Al Khaleej) Substitution at 91',2024-08-30 05:42:29
12826,715939,10,43646728,90'+7',Hussain Al-Sabiyani (Al Shabab) Yellow Card at 97',2024-08-30 05:42:29
