seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13735,759747,1,46259295,93,Yuya Yoshimura (Rayo Majadahonda) is shown the red card for violent conduct.,Yuya Yoshimura Red Card,1,960,16',9028,0,0,2025-10-28 19:16:05,0.0,0.0,0.0,0.0,0.0,0.0,311932.0,Yuya Yoshimura,2025-10-29 05:17:41
13735,759747,2,46259507,70,"Goal! Rayo Majadahonda 0, Talavera de la Reina 1. Manu Farrando (Talavera de la Reina) right footed shot from the centre of the box to the centre of the goal. Assisted by Gonzalo Di Renzo.",Manuel Farrando Goal,1,1440,24',5428,0,0,2025-10-28 19:24:05,0.0,0.0,0.0,0.0,0.0,0.0,264081.0,Manuel Farrando,2025-11-05 06:15:28
13735,759747,3,46259774,70,"Goal! Rayo Majadahonda 0, Talavera de la Reina 2. Gonzalo Di Renzo (Talavera de la Reina) right footed shot from the centre of the box to the high centre of the goal. Assisted by Sergio Montero.",Gonzalo Di Renzo Goal,1,2160,36',5428,0,0,2025-10-28 19:36:04,0.0,0.0,0.0,0.0,0.0,0.0,216205.0,Gonzalo Di Renzo,2025-10-29 05:17:41
13735,759747,6,46259983,76,"Substitution, Rayo Majadahonda. Pol Prats replaces Álex Barba.",Pol Prats Substitution,1,2700,45',9028,0,0,2025-10-28 19:45:05,0.0,0.0,0.0,0.0,0.0,0.0,271637.0,Pol Prats,2025-10-29 05:17:41
13735,759747,4,46260054,76,"Substitution, Rayo Majadahonda. Alberto Noguera replaces Koke San José.",Alberto Noguera Substitution,1,2700,45',9028,0,0,2025-10-28 19:45:04,0.0,0.0,0.0,0.0,0.0,0.0,157709.0,Alberto Noguera,2025-10-29 05:17:41
13735,759747,5,46260055,76,"Substitution, Rayo Majadahonda. Javi Martín replaces Javi Tejedor.",Javí Martín Substitution,1,2700,45',9028,0,0,2025-10-28 19:45:04,0.0,0.0,0.0,0.0,0.0,0.0,312971.0,Javí Martín,2025-10-29 05:17:41
13735,759747,6,46259983,76,"Substitution, Rayo Majadahonda. Pol Prats replaces Álex Barba.",Pol Prats Substitution,1,2700,45',9028,0,0,2025-10-28 19:45:05,0.0,0.0,0.0,0.0,0.0,0.0,154728.0,Alejandro Barba,2025-10-29 05:17:41
13735,759747,4,46260054,76,"Substitution, Rayo Majadahonda. Alberto Noguera replaces Koke San José.",Alberto Noguera Substitution,1,2700,45',9028,0,0,2025-10-28 19:45:04,0.0,0.0,0.0,0.0,0.0,0.0,375744.0,Koke San José,2025-10-29 05:17:41
13735,759747,5,46260055,76,"Substitution, Rayo Majadahonda. Javi Martín replaces Javi Tejedor.",Javí Martín Substitution,1,2700,45',9028,0,0,2025-10-28 19:45:04,0.0,0.0,0.0,0.0,0.0,0.0,413195.0,Javier Tejedor,2025-10-29 05:17:41
13735,759747,7,46260813,70,"Goal! Rayo Majadahonda 1, Talavera de la Reina 2. Dani Vidal (Rayo Majadahonda) header from the centre of the box to the high centre of the goal. Assisted by Pol Prats.",Dani Vidal Goal,2,3000,50',9028,0,0,2025-10-28 20:08:52,0.0,0.0,0.0,0.0,0.0,0.0,307512.0,Dani Vidal,2025-10-29 05:17:41
13735,759747,8,46261370,94,Ilies Faure (Rayo Majadahonda) is shown the yellow card for a bad foul.,Ilies Hassaine Yellow Card,2,3060,51',9028,0,0,2025-10-28 20:09:52,0.0,0.0,0.0,0.0,0.0,0.0,413173.0,Ilies Hassaine,2025-10-29 05:17:41
13735,759747,9,46261011,94,Dani Ramos (Rayo Majadahonda) is shown the yellow card for a bad foul.,Daniel Ramos Yellow Card,2,3300,55',9028,0,0,2025-10-28 20:13:52,0.0,0.0,0.0,0.0,0.0,0.0,231813.0,Daniel Ramos,2025-10-29 05:17:41
13735,759747,11,46261286,76,"Substitution, Talavera de la Reina. Sergi Molina replaces Álvaro López.",Sergi Molina Substitution,2,3660,61',5428,0,0,2025-10-28 20:19:52,0.0,0.0,0.0,0.0,0.0,0.0,353686.0,Sergi Molina,2025-10-29 05:17:41
13735,759747,10,46261355,76,"Substitution, Talavera de la Reina. Luis Sánchez replaces Edu Gallardo.",Luis Sánchez Substitution,2,3660,61',5428,0,0,2025-10-28 20:19:52,0.0,0.0,0.0,0.0,0.0,0.0,412012.0,Luis Sánchez,2025-10-29 05:17:41
13735,759747,11,46261286,76,"Substitution, Talavera de la Reina. Sergi Molina replaces Álvaro López.",Sergi Molina Substitution,2,3660,61',5428,0,0,2025-10-28 20:19:52,0.0,0.0,0.0,0.0,0.0,0.0,332728.0,Álvaro López,2025-10-29 05:17:41
13735,759747,10,46261355,76,"Substitution, Talavera de la Reina. Luis Sánchez replaces Edu Gallardo.",Luis Sánchez Substitution,2,3660,61',5428,0,0,2025-10-28 20:19:52,0.0,0.0,0.0,0.0,0.0,0.0,331952.0,Edu Gallardo,2025-10-29 05:17:41
13735,759747,12,46261405,94,Dani Vidal (Rayo Majadahonda) is shown the yellow card for a bad foul.,Dani Vidal Yellow Card,2,3840,64',9028,0,0,2025-10-28 20:22:52,0.0,0.0,0.0,0.0,0.0,0.0,307512.0,Dani Vidal,2025-10-29 05:17:41
13735,759747,13,46261495,70,"Goal! Rayo Majadahonda 1, Talavera de la Reina 3. Gonzalo Di Renzo (Talavera de la Reina) header from the centre of the box to the centre of the goal. Assisted by Manu Farrando.",Gonzalo Di Renzo Goal,2,3960,66',5428,0,0,2025-10-28 20:24:51,0.0,0.0,0.0,0.0,0.0,0.0,216205.0,Gonzalo Di Renzo,2025-10-29 05:17:41
13735,759747,14,46261541,76,"Substitution, Rayo Majadahonda. Iñigo Ramos replaces Dani Plomer.",Iñigo Ramos Substitution,2,4020,67',9028,0,0,2025-10-28 20:25:52,0.0,0.0,0.0,0.0,0.0,0.0,412026.0,Iñigo Ramos,2025-10-29 05:17:41
13735,759747,14,46261541,76,"Substitution, Rayo Majadahonda. Iñigo Ramos replaces Dani Plomer.",Iñigo Ramos Substitution,2,4020,67',9028,0,0,2025-10-28 20:25:52,0.0,0.0,0.0,0.0,0.0,0.0,279687.0,Daniel Plomer,2025-10-29 05:17:41
13735,759747,15,46261714,76,"Substitution, Rayo Majadahonda. Antonio Amaro replaces Dani Vidal.",Antonio Amaro Mendo Substitution,2,4320,72',9028,0,0,2025-10-28 20:30:52,0.0,0.0,0.0,0.0,0.0,0.0,394747.0,Antonio Amaro Mendo,2025-10-29 05:17:41
