seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13027,724176,2,45417540,76,Wouter Goes (Netherlands U21) Substitution at 45',Wouter Goes Substitution,2,2700,45',11627,0,0,2025-06-25 17:03:07,0.0,0.0,0.0,0.0,0.0,0.0,329972.0,Wouter Goes,2025-07-03 11:54:20
13027,724176,1,45417539,94,Elliot Anderson (England U21) Yellow Card at 46',Elliot Anderson Yellow Card,1,2700,45'+1',4150,0,0,2025-06-25 16:45:55,0.0,0.0,0.0,0.0,0.0,0.0,238472.0,Elliot Anderson,2025-07-03 11:54:20
13027,724176,2,45417540,76,Wouter Goes (Netherlands U21) Substitution at 45',Wouter Goes Substitution,2,2700,45',11627,0,0,2025-06-25 17:03:07,0.0,0.0,0.0,0.0,0.0,0.0,292393.0,Neraysho Kasanwirjo,2025-07-03 11:54:20
13027,724176,3,45417541,70,Harvey Elliott (England U21) Goal at 62',Harvey Elliott Goal,2,3720,62',4150,0,0,2025-06-25 17:21:04,0.0,0.0,0.0,0.0,0.0,0.0,280806.0,Harvey Elliott,2025-07-03 11:54:20
13027,724176,4,45417542,76,Noah Ohio (Netherlands U21) Substitution at 69',Noah Ohio Substitution,2,4140,69',11627,0,0,2025-06-25 17:28:04,0.0,0.0,0.0,0.0,0.0,0.0,312759.0,Noah Ohio,2025-07-03 11:54:20
13027,724176,4,45417542,76,Noah Ohio (Netherlands U21) Substitution at 69',Noah Ohio Substitution,2,4140,69',11627,0,0,2025-06-25 17:28:04,0.0,0.0,0.0,0.0,0.0,0.0,321081.0,Antoni Milambo,2025-07-03 11:54:20
13027,724176,5,45417543,70,Noah Ohio (Netherlands U21) Goal at 72',Noah Ohio Goal,2,4320,72',11627,0,0,2025-06-25 17:30:46,0.0,0.0,0.0,0.0,0.0,0.0,312759.0,Noah Ohio,2025-07-03 11:54:20
13027,724176,6,45417544,76,Bjorn Meijer (Netherlands U21) Substitution at 76',Bjorn Meijer Substitution,2,4560,76',11627,0,0,2025-06-25 17:34:41,0.0,0.0,0.0,0.0,0.0,0.0,304618.0,Bjorn Meijer,2025-07-03 11:54:20
13027,724176,6,45417544,76,Bjorn Meijer (Netherlands U21) Substitution at 76',Bjorn Meijer Substitution,2,4560,76',11627,0,0,2025-06-25 17:34:41,0.0,0.0,0.0,0.0,0.0,0.0,319296.0,Luciano Valente,2025-07-03 11:54:20
13027,724176,7,45417545,94,Wouter Goes (Netherlands U21) Yellow Card at 77',Wouter Goes Yellow Card,2,4620,77',11627,0,0,2025-06-25 17:36:15,0.0,0.0,0.0,0.0,0.0,0.0,329972.0,Wouter Goes,2025-07-03 11:54:20
13027,724176,8,45417546,76,Jon Rowe (England U21) Substitution at 78',Jon Rowe Substitution,2,4680,78',4150,0,0,2025-06-25 17:37:10,0.0,0.0,0.0,0.0,0.0,0.0,118279.0,Jon Rowe,2025-07-03 11:54:20
13027,724176,9,45417547,76,Brooke Norton-Cuffy (England U21) Substitution at 78',Brooke Norton-Cuffy Substitution,2,4680,78',4150,0,0,2025-06-25 17:37:17,0.0,0.0,0.0,0.0,0.0,0.0,311173.0,Brooke Norton-Cuffy,2025-07-03 11:54:20
13027,724176,8,45417546,76,Jon Rowe (England U21) Substitution at 78',Jon Rowe Substitution,2,4680,78',4150,0,0,2025-06-25 17:37:10,0.0,0.0,0.0,0.0,0.0,0.0,298518.0,James McAtee,2025-07-03 11:54:20
13027,724176,9,45417547,76,Brooke Norton-Cuffy (England U21) Substitution at 78',Brooke Norton-Cuffy Substitution,2,4680,78',4150,0,0,2025-06-25 17:37:17,0.0,0.0,0.0,0.0,0.0,0.0,322771.0,Omari Hutchinson,2025-07-03 11:54:20
13027,724176,10,45417548,76,Hayden Hackney (England U21) Substitution at 84',Hayden Hackney Substitution,2,5040,84',4150,0,0,2025-06-25 17:42:52,0.0,0.0,0.0,0.0,0.0,0.0,282978.0,Hayden Hackney,2025-07-03 11:54:20
13027,724176,11,45417549,76,Ethan Nwaneri (England U21) Substitution at 84',Ethan Nwaneri Substitution,2,5040,84',4150,0,0,2025-06-25 17:42:55,0.0,0.0,0.0,0.0,0.0,0.0,349733.0,Ethan Nwaneri,2025-07-03 11:54:20
13027,724176,10,45417548,76,Hayden Hackney (England U21) Substitution at 84',Hayden Hackney Substitution,2,5040,84',4150,0,0,2025-06-25 17:42:52,0.0,0.0,0.0,0.0,0.0,0.0,314790.0,Alex Scott,2025-07-03 11:54:20
13027,724176,11,45417549,76,Ethan Nwaneri (England U21) Substitution at 84',Ethan Nwaneri Substitution,2,5040,84',4150,0,0,2025-06-25 17:42:55,0.0,0.0,0.0,0.0,0.0,0.0,301248.0,Jay Stansfield,2025-07-03 11:54:20
13027,724176,12,45417550,70,Harvey Elliott (England U21) Goal at 85',Harvey Elliott Goal,2,5100,85',4150,0,0,2025-06-25 17:44:18,0.0,0.0,0.0,0.0,0.0,0.0,280806.0,Harvey Elliott,2025-07-03 11:54:20
13027,724176,13,45417551,76,Myron van Brederode (Netherlands U21) Substitution at 87',Myron van Brederode Substitution,2,5220,87',11627,0,0,2025-06-25 17:45:29,0.0,0.0,0.0,0.0,0.0,0.0,309156.0,Myron van Brederode,2025-07-03 11:54:20
13027,724176,14,45417552,76,Youri Regeer (Netherlands U21) Substitution at 87',Youri Regeer Substitution,2,5220,87',11627,0,0,2025-06-25 17:45:33,0.0,0.0,0.0,0.0,0.0,0.0,297292.0,Youri Regeer,2025-07-03 11:54:20
13027,724176,13,45417551,76,Myron van Brederode (Netherlands U21) Substitution at 87',Myron van Brederode Substitution,2,5220,87',11627,0,0,2025-06-25 17:45:29,0.0,0.0,0.0,0.0,0.0,0.0,305628.0,Million Manhoef,2025-07-03 11:54:20
13027,724176,14,45417552,76,Youri Regeer (Netherlands U21) Substitution at 87',Youri Regeer Substitution,2,5220,87',11627,0,0,2025-06-25 17:45:33,0.0,0.0,0.0,0.0,0.0,0.0,351290.0,Thom Van Bergen,2025-07-03 11:54:20
13027,724176,15,45417553,76,Archie Gray (England U21) Substitution at 91',Archie Gray Substitution,2,5400,90'+1',4150,0,0,2025-06-25 17:49:44,0.0,0.0,0.0,0.0,0.0,0.0,328050.0,Archie Gray,2025-07-03 11:54:20
13027,724176,15,45417553,76,Archie Gray (England U21) Substitution at 91',Archie Gray Substitution,2,5400,90'+1',4150,0,0,2025-06-25 17:49:44,0.0,0.0,0.0,0.0,0.0,0.0,280806.0,Harvey Elliott,2025-07-03 11:54:20
13027,724177,1,45417577,70,Nelson Weiper (Germany U21) Goal at 8',Nelson Weiper Goal,1,480,8',4379,0,0,2025-06-25 19:07:51,0.0,0.0,0.0,0.0,0.0,0.0,351280.0,Nelson Weiper,2025-07-03 11:54:20
13027,724177,2,45417598,76,Tim Oermann (Germany U21) Substitution at 11',Tim Oermann Substitution,1,660,11',4379,0,0,2025-06-25 19:10:40,0.0,0.0,0.0,0.0,0.0,0.0,346376.0,Tim Oermann,2025-07-03 11:54:20
13027,724177,2,45417598,76,Tim Oermann (Germany U21) Substitution at 11',Tim Oermann Substitution,1,660,11',4379,0,0,2025-06-25 19:10:40,0.0,0.0,0.0,0.0,0.0,0.0,367557.0,Max Rosenfelder,2025-07-03 11:54:20
13027,724177,3,45417610,70,Nick Woltemade (Germany U21) Goal at 14',Nick Woltemade Goal,1,840,14',4379,0,0,2025-06-25 19:13:44,0.0,0.0,0.0,0.0,0.0,0.0,298349.0,Nick Woltemade,2025-07-03 11:54:20
13027,724177,4,45417676,94,Ismael Doukoure (France U21) Yellow Card at 33',Ismael Doukoure Yellow Card,1,1980,33',11676,0,0,2025-06-25 19:32:38,0.0,0.0,0.0,0.0,0.0,0.0,305935.0,Ismael Doukoure,2025-07-03 11:54:20
13027,724177,5,45417736,76,Thierno Barry (France U21) Substitution at 45',Thierno Barry Substitution,2,2700,45',11676,0,0,2025-06-25 20:00:41,0.0,0.0,0.0,0.0,0.0,0.0,301166.0,Thierno Barry,2025-07-03 11:54:20
13027,724177,5,45417736,76,Thierno Barry (France U21) Substitution at 45',Thierno Barry Substitution,2,2700,45',11676,0,0,2025-06-25 20:00:41,0.0,0.0,0.0,0.0,0.0,0.0,318389.0,Matthis Abline,2025-07-03 11:54:20
13027,724177,6,45417764,94,Johann Lepenant (France U21) Yellow Card at 56',Johann Lepenant Yellow Card,2,3360,56',11676,0,0,2025-06-25 20:12:16,0.0,0.0,0.0,0.0,0.0,0.0,297166.0,Johann Lepenant,2025-07-03 11:54:20
13027,724177,7,45417776,94,Soungoutou Magassa (France U21) Yellow Card at 63',Soungoutou Magassa Yellow Card,2,3780,63',11676,0,0,2025-06-25 20:18:32,0.0,0.0,0.0,0.0,0.0,0.0,333240.0,Soungoutou Magassa,2025-07-03 11:54:20
13027,724177,8,45417777,76,Loum Tchaouna (France U21) Substitution at 64',Loum Tchaouna Substitution,2,3840,64',11676,0,0,2025-06-25 20:19:51,0.0,0.0,0.0,0.0,0.0,0.0,324541.0,Loum Tchaouna,2025-07-03 11:54:20
13027,724177,9,45417795,76,Felix Lemarechal (France U21) Substitution at 64',Felix Lemarechal Substitution,2,3840,64',11676,0,0,2025-06-25 20:19:52,0.0,0.0,0.0,0.0,0.0,0.0,324419.0,Felix Lemarechal,2025-07-03 11:54:20
13027,724177,8,45417777,76,Loum Tchaouna (France U21) Substitution at 64',Loum Tchaouna Substitution,2,3840,64',11676,0,0,2025-06-25 20:19:51,0.0,0.0,0.0,0.0,0.0,0.0,297166.0,Johann Lepenant,2025-07-03 11:54:20
13027,724177,9,45417795,76,Felix Lemarechal (France U21) Substitution at 64',Felix Lemarechal Substitution,2,3840,64',11676,0,0,2025-06-25 20:19:52,0.0,0.0,0.0,0.0,0.0,0.0,345687.0,Wilson Odobert,2025-07-03 11:54:20
13027,724177,10,45417824,76,Merlin Rohl (Germany U21) Substitution at 71',Merlin Rohl Substitution,2,4260,71',4379,0,0,2025-06-25 20:27:08,0.0,0.0,0.0,0.0,0.0,0.0,311963.0,Merlin Rohl,2025-07-03 11:54:20
13027,724177,10,45417824,76,Merlin Rohl (Germany U21) Substitution at 71',Merlin Rohl Substitution,2,4260,71',4379,0,0,2025-06-25 20:27:08,0.0,0.0,0.0,0.0,0.0,0.0,351280.0,Nelson Weiper,2025-07-03 11:54:20
13027,724177,11,45417825,76,Brajan Gruda (Germany U21) Substitution at 72',Brajan Gruda Substitution,2,4320,72',4379,0,0,2025-06-25 20:27:33,0.0,0.0,0.0,0.0,0.0,0.0,357683.0,Brajan Gruda,2025-07-03 11:54:20
13027,724177,11,45417825,76,Brajan Gruda (Germany U21) Substitution at 72',Brajan Gruda Substitution,2,4320,72',4379,0,0,2025-06-25 20:27:33,0.0,0.0,0.0,0.0,0.0,0.0,305555.0,Ansgar Knauff,2025-07-03 11:54:20
13027,724177,12,45417835,76,Andy Diouf (France U21) Substitution at 74',Andy Diouf Substitution,2,4440,74',11676,0,0,2025-06-25 20:29:38,0.0,0.0,0.0,0.0,0.0,0.0,319167.0,Andy Diouf,2025-07-03 11:54:20
13027,724177,12,45417835,76,Andy Diouf (France U21) Substitution at 74',Andy Diouf Substitution,2,4440,74',11676,0,0,2025-06-25 20:29:38,0.0,0.0,0.0,0.0,0.0,0.0,305935.0,Ismael Doukoure,2025-07-03 11:54:20
13027,724177,13,45417841,94,Brajan Gruda (Germany U21) Yellow Card at 76',Brajan Gruda Yellow Card,2,4560,76',4379,0,0,2025-06-25 20:32:15,0.0,0.0,0.0,0.0,0.0,0.0,357683.0,Brajan Gruda,2025-07-03 11:54:20
13027,724177,14,45417844,76,Lucien Agoumé (France U21) Substitution at 78',Lucien Agoumé Substitution,2,4680,78',11676,0,0,2025-06-25 20:33:22,0.0,0.0,0.0,0.0,0.0,0.0,282289.0,Lucien Agoumé,2025-07-03 11:54:20
13027,724177,14,45417844,76,Lucien Agoumé (France U21) Substitution at 78',Lucien Agoumé Substitution,2,4680,78',11676,0,0,2025-06-25 20:33:22,0.0,0.0,0.0,0.0,0.0,0.0,355982.0,Djaoui Cissé,2025-07-03 11:54:20
13027,724177,15,45417869,94,Castello Lukeba (France U21) Yellow Card at 85',Castello Lukeba Yellow Card,2,5100,85',11676,0,0,2025-06-25 20:40:50,0.0,0.0,0.0,0.0,0.0,0.0,319100.0,Castello Lukeba,2025-07-03 11:54:20
13027,724177,16,45417872,94,Eric Martel (Germany U21) Yellow Card at 86',Eric Martel Yellow Card,2,5160,86',4379,0,0,2025-06-25 20:42:04,0.0,0.0,0.0,0.0,0.0,0.0,290398.0,Eric Martel,2025-07-03 11:54:20
13027,724177,17,45417873,76,Jamil Siebert (Germany U21) Substitution at 87',Jamil Siebert Substitution,2,5220,87',4379,0,0,2025-06-25 20:43:16,0.0,0.0,0.0,0.0,0.0,0.0,307391.0,Jamil Siebert,2025-07-03 11:54:20
13027,724177,17,45417873,76,Jamil Siebert (Germany U21) Substitution at 87',Jamil Siebert Substitution,2,5220,87',4379,0,0,2025-06-25 20:43:16,0.0,0.0,0.0,0.0,0.0,0.0,307282.0,Paul Nebel,2025-07-03 11:54:20
13027,724177,18,45417879,76,Paul Wanner (Germany U21) Substitution at 88',Paul Wanner Substitution,2,5280,88',4379,0,0,2025-06-25 20:43:30,0.0,0.0,0.0,0.0,0.0,0.0,333399.0,Paul Wanner,2025-07-03 11:54:20
13027,724177,18,45417879,76,Paul Wanner (Germany U21) Substitution at 88',Paul Wanner Substitution,2,5280,88',4379,0,0,2025-06-25 20:43:30,0.0,0.0,0.0,0.0,0.0,0.0,307364.0,Rocco Reitz,2025-07-03 11:54:20
13027,724177,19,45417914,70,Brajan Gruda (Germany U21) Goal at 93',Brajan Gruda Goal,2,5400,90'+3',4379,0,0,2025-06-25 20:48:54,0.0,0.0,0.0,0.0,0.0,0.0,357683.0,Brajan Gruda,2025-07-03 11:54:20
13026,724178,1,45425215,70,Harvey Elliott (England U21) Goal at 5',Harvey Elliott Goal,1,300,5',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,280806.0,Harvey Elliott,2025-06-28 23:23:51
13026,724178,2,45425258,70,Omari Hutchinson (England U21) Goal at 24',Omari Hutchinson Goal,1,1440,24',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,322771.0,Omari Hutchinson,2025-06-28 23:23:51
13026,724178,3,45425292,94,Eric Martel (Germany U21) Yellow Card at 37',Eric Martel Yellow Card,1,2220,37',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,290398.0,Eric Martel,2025-06-28 23:23:51
13026,724178,4,45425303,94,Alex Scott (England U21) Yellow Card at 43',Alex Scott Yellow Card,1,2580,43',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,314790.0,Alex Scott,2025-06-28 23:23:51
13026,724178,5,45425304,76,Tyler Morton (England U21) Substitution at 44',Tyler Morton Substitution,1,2640,44',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,298522.0,Tyler Morton,2025-06-28 23:23:51
13026,724178,5,45425304,76,Tyler Morton (England U21) Substitution at 44',Tyler Morton Substitution,1,2640,44',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,314790.0,Alex Scott,2025-06-28 23:23:51
13026,724178,6,45425307,70,Nelson Weiper (Germany U21) Goal at 46',Nelson Weiper Goal,1,2700,45'+1',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,351280.0,Nelson Weiper,2025-06-28 23:23:51
13026,724178,7,45425403,70,Paul Nebel (Germany U21) Goal at 61',Paul Nebel Goal,2,3660,61',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,307282.0,Paul Nebel,2025-06-28 23:23:51
13026,724178,8,45425413,76,Brooke Norton-Cuffy (England U21) Substitution at 62',Brooke Norton-Cuffy Substitution,2,3720,62',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,311173.0,Brooke Norton-Cuffy,2025-06-28 23:23:51
13026,724178,8,45425413,76,Brooke Norton-Cuffy (England U21) Substitution at 62',Brooke Norton-Cuffy Substitution,2,3720,62',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,301248.0,Jay Stansfield,2025-06-28 23:23:51
13026,724178,9,45425482,76,Ansgar Knauff (Germany U21) Substitution at 73',Ansgar Knauff Substitution,2,4380,73',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,305555.0,Ansgar Knauff,2025-06-28 23:23:51
13026,724178,9,45425482,76,Ansgar Knauff (Germany U21) Substitution at 73',Ansgar Knauff Substitution,2,4380,73',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,357683.0,Brajan Gruda,2025-06-28 23:23:51
13026,724178,10,45425504,76,Merlin Rohl (Germany U21) Substitution at 80',Merlin Rohl Substitution,2,4800,80',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,311963.0,Merlin Rohl,2025-06-28 23:23:51
13026,724178,10,45425504,76,Merlin Rohl (Germany U21) Substitution at 80',Merlin Rohl Substitution,2,4800,80',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,351280.0,Nelson Weiper,2025-06-28 23:23:51
13026,724178,11,45425536,76,Lukas Ullrich (Germany U21) Substitution at 86',Lukas Ullrich Substitution,2,5160,86',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,346617.0,Lukas Ullrich,2025-06-28 23:23:51
13026,724178,11,45425536,76,Lukas Ullrich (Germany U21) Substitution at 86',Lukas Ullrich Substitution,2,5160,86',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,120829.0,Nathaniel Brown,2025-06-28 23:23:51
13026,724178,12,45425585,76,Ethan Nwaneri (England U21) Substitution at 90',Ethan Nwaneri Substitution,3,5400,90',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,349733.0,Ethan Nwaneri,2025-06-28 23:23:51
13026,724178,13,45425586,76,Jon Rowe (England U21) Substitution at 90',Jon Rowe Substitution,3,5400,90',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,118279.0,Jon Rowe,2025-06-28 23:23:51
13026,724178,12,45425585,76,Ethan Nwaneri (England U21) Substitution at 90',Ethan Nwaneri Substitution,3,5400,90',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,298518.0,James McAtee,2025-06-28 23:23:51
13026,724178,13,45425586,76,Jon Rowe (England U21) Substitution at 90',Jon Rowe Substitution,3,5400,90',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,280806.0,Harvey Elliott,2025-06-28 23:23:51
13026,724178,14,45425595,70,Jon Rowe (England U21) Goal at 92',Jon Rowe Goal,3,5520,92',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,118279.0,Jon Rowe,2025-06-28 23:23:51
13026,724178,15,45425599,76,Nicolo Tresoldi (Germany U21) Substitution at 98',Nicolo Tresoldi Substitution,3,5880,98',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,335201.0,Nicolo Tresoldi,2025-06-28 23:23:51
13026,724178,16,45425600,76,Samuel Iling-Junior (England U21) Substitution at 98',Samuel Iling-Junior Substitution,3,5880,98',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,341273.0,Samuel Iling-Junior,2025-06-28 23:23:51
13026,724178,15,45425599,76,Nicolo Tresoldi (Germany U21) Substitution at 98',Nicolo Tresoldi Substitution,3,5880,98',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,290398.0,Eric Martel,2025-06-28 23:23:51
13026,724178,16,45425600,76,Samuel Iling-Junior (England U21) Substitution at 98',Samuel Iling-Junior Substitution,3,5880,98',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,322771.0,Omari Hutchinson,2025-06-28 23:23:51
13026,724178,17,45425601,76,CJ Egan-Riley (England U21) Substitution at 99',CJ Egan-Riley Substitution,3,5940,99',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,307115.0,CJ Egan-Riley,2025-06-28 23:23:51
13026,724178,17,45425601,76,CJ Egan-Riley (England U21) Substitution at 99',CJ Egan-Riley Substitution,3,5940,99',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,238472.0,Elliot Anderson,2025-06-28 23:23:51
13026,724178,18,45425623,76,Paul Wanner (Germany U21) Substitution at 105',Paul Wanner Substitution,4,6300,105',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,333399.0,Paul Wanner,2025-06-28 23:23:51
13026,724178,18,45425623,76,Paul Wanner (Germany U21) Substitution at 105',Paul Wanner Substitution,4,6300,105',4379,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,346376.0,Tim Oermann,2025-06-28 23:23:51
13026,724178,19,45425641,94,Samuel Iling-Junior (England U21) Yellow Card at 113',Samuel Iling-Junior Yellow Card,4,6780,113',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,341273.0,Samuel Iling-Junior,2025-06-28 23:23:51
13026,724178,20,45425647,94,James Beadle (England U21) Yellow Card at 115',James Beadle Yellow Card,4,6900,115',4150,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,329170.0,James Beadle,2025-06-28 23:23:51
13028,724172,1,45407042,94,Ruben Van Bommel (Netherlands U21) Yellow Card at 19',Ruben Van Bommel Yellow Card,1,1140,19',11627,0,0,2025-06-21 16:19:00,0.0,0.0,0.0,0.0,0.0,0.0,340252.0,Ruben Van Bommel,2025-07-03 11:54:20
13028,724172,2,45407043,93,Ruben Van Bommel (Netherlands U21) Red Card at 21',Ruben Van Bommel Red Card,1,1260,21',11627,0,0,2025-06-21 16:20:57,0.0,0.0,0.0,0.0,0.0,0.0,340252.0,Ruben Van Bommel,2025-07-03 11:54:20
13028,724172,3,45407053,94,Devyne Rensch (Netherlands U21) Yellow Card at 30',Devyne Rensch Yellow Card,1,1800,30',11627,0,0,2025-06-21 16:30:09,0.0,0.0,0.0,0.0,0.0,0.0,297300.0,Devyne Rensch,2025-07-03 11:54:20
13028,724172,4,45407057,113,Geovany Quenda (Portugal U21) Penalty - Missed at 31',Geovany Quenda Penalty - Missed,1,1860,31',11692,0,0,1980-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,376274.0,Geovany Quenda,2025-06-22 04:42:17
13028,724172,5,45407098,76,Henrique Araújo (Portugal U21) Substitution at 45',Henrique Araújo Substitution,2,2700,45',11692,0,0,2025-06-21 17:02:13,0.0,0.0,0.0,0.0,0.0,0.0,334530.0,Henrique Araújo,2025-07-03 11:54:20
13028,724172,5,45407098,76,Henrique Araújo (Portugal U21) Substitution at 45',Henrique Araújo Substitution,2,2700,45',11692,0,0,2025-06-21 17:02:13,0.0,0.0,0.0,0.0,0.0,0.0,304019.0,Tiago Tomas,2025-07-03 11:54:20
13028,724172,6,45407104,94,Kenneth Taylor (Netherlands U21) Yellow Card at 50',Kenneth Taylor Yellow Card,2,3000,50',11627,0,0,2025-06-21 17:07:33,0.0,0.0,0.0,0.0,0.0,0.0,282228.0,Kenneth Taylor,2025-07-03 11:54:20
13028,724172,7,45407109,76,Bjorn Meijer (Netherlands U21) Substitution at 53',Bjorn Meijer Substitution,2,3180,53',11627,0,0,2025-06-21 17:10:08,0.0,0.0,0.0,0.0,0.0,0.0,304618.0,Bjorn Meijer,2025-07-03 11:54:20
13028,724172,7,45407109,76,Bjorn Meijer (Netherlands U21) Substitution at 53',Bjorn Meijer Substitution,2,3180,53',11627,0,0,2025-06-21 17:10:08,0.0,0.0,0.0,0.0,0.0,0.0,319296.0,Luciano Valente,2025-07-03 11:54:20
13028,724172,8,45407133,76,Carlos Forbs (Portugal U21) Substitution at 63',Carlos Forbs Substitution,2,3780,63',11692,0,0,2025-06-21 17:20:30,0.0,0.0,0.0,0.0,0.0,0.0,78836.0,Carlos Forbs,2025-07-03 11:54:20
13028,724172,8,45407133,76,Carlos Forbs (Portugal U21) Substitution at 63',Carlos Forbs Substitution,2,3780,63',11692,0,0,2025-06-21 17:20:30,0.0,0.0,0.0,0.0,0.0,0.0,310802.0,Paulo Bernardo,2025-07-03 11:54:20
13028,724172,9,45407137,94,Gustavo Sá (Portugal U21) Yellow Card at 64',Gustavo Sá Yellow Card,2,3840,64',11692,0,0,2025-06-21 17:21:14,0.0,0.0,0.0,0.0,0.0,0.0,347406.0,Gustavo Sá,2025-07-03 11:54:20
13028,724172,10,45407206,76,Ernest Poku (Netherlands U21) Substitution at 79',Ernest Poku Substitution,2,4740,79',11627,0,0,2025-06-21 17:36:14,0.0,0.0,0.0,0.0,0.0,0.0,318534.0,Ernest Poku,2025-07-03 11:54:20
13028,724172,10,45407206,76,Ernest Poku (Netherlands U21) Substitution at 79',Ernest Poku Substitution,2,4740,79',11627,0,0,2025-06-21 17:36:14,0.0,0.0,0.0,0.0,0.0,0.0,305628.0,Million Manhoef,2025-07-03 11:54:20
13028,724172,11,45407210,76,Pedro Santos (Portugal U21) Substitution at 80',Pedro Santos Substitution,2,4800,80',11692,0,0,2025-06-21 17:37:41,0.0,0.0,0.0,0.0,0.0,0.0,370133.0,Pedro Santos,2025-07-03 11:54:20
13028,724172,12,45407211,76,João Marques (Portugal U21) Substitution at 80',João Marques Substitution,2,4800,80',11692,0,0,2025-06-21 17:37:42,0.0,0.0,0.0,0.0,0.0,0.0,347073.0,João Marques,2025-07-03 11:54:20
13028,724172,11,45407210,76,Pedro Santos (Portugal U21) Substitution at 80',Pedro Santos Substitution,2,4800,80',11692,0,0,2025-06-21 17:37:41,0.0,0.0,0.0,0.0,0.0,0.0,346820.0,Mateus Fernandes,2025-07-03 11:54:20
13028,724172,12,45407211,76,João Marques (Portugal U21) Substitution at 80',João Marques Substitution,2,4800,80',11692,0,0,2025-06-21 17:37:42,0.0,0.0,0.0,0.0,0.0,0.0,347406.0,Gustavo Sá,2025-07-03 11:54:20
13028,724172,13,45407217,70,Ernest Poku (Netherlands U21) Goal at 84',Ernest Poku Goal,2,5040,84',11627,0,0,2025-06-21 17:41:43,0.0,0.0,0.0,0.0,0.0,0.0,318534.0,Ernest Poku,2025-07-03 11:54:20
13028,724172,14,45407225,76,Rodrigo Gomes (Portugal U21) Substitution at 87',Rodrigo Gomes Substitution,2,5220,87',11692,0,0,2025-06-21 17:44:35,0.0,0.0,0.0,0.0,0.0,0.0,308456.0,Rodrigo Gomes,2025-07-03 11:54:20
13028,724172,14,45407225,76,Rodrigo Gomes (Portugal U21) Substitution at 87',Rodrigo Gomes Substitution,2,5220,87',11692,0,0,2025-06-21 17:44:35,0.0,0.0,0.0,0.0,0.0,0.0,366785.0,Rodrigo Pinheiro,2025-07-03 11:54:20
13028,724172,15,45407242,94,Pedro Santos (Portugal U21) Yellow Card at 92',Pedro Santos Yellow Card,2,5400,90'+2',11692,0,0,2025-06-21 17:49:21,0.0,0.0,0.0,0.0,0.0,0.0,370133.0,Pedro Santos,2025-07-03 11:54:20
